Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
19/09/2020,Boavista,3,3,0,1,0,2,2,8,3,21,4,3,0
26/09/2020,Boavista,0,5,0,0,1,0,0,11,4,19,3,1,0
02/10/2020,Boavista,1,1,0,1,0,1,0,16,5,19,3,1,0
19/10/2020,Boavista,4,9,0,2,1,3,2,35,12,59,10,5,0
25/10/2020,Boavista,1,7,0,1,2,1,1,46,11,59,15,6,0
02/11/2020,Boavista,3,4,0,2,1,1,1,45,13,60,13,10,1
08/11/2020,Boavista,5,3,1,1,1,2,1,43,15,72,14,12,1
29/11/2020,Boavista,6,5,1,1,1,3,1,37,18,66,12,9,1
06/12/2020,Boavista,4,3,1,1,1,3,1,42,18,52,15,5,0
20/12/2020,Boavista,1,3,0,2,1,1,1,34,13,36,11,2,0
28/12/2020,Boavista,1,1,0,3,0,0,0,29,12,34,7,4,0
03/01/2021,Boavista,2,5,0,2,1,0,3,27,11,46,11,4,0
09/01/2021,Boavista,2,5,0,2,1,0,3,31,12,52,14,8,0
16/01/2021,Boavista,2,5,0,2,1,1,4,36,13,57,14,8,0
26/01/2021,Boavista,2,4,0,2,1,1,2,31,10,46,11,7,2
30/01/2021,Boavista,2,6,0,1,2,1,3,28,10,50,12,5,2
05/02/2021,Boavista,3,6,1,0,2,1,3,26,11,50,11,5,2
09/02/2021,Boavista,3,5,1,0,2,2,3,34,14,54,9,7,0
13/02/2021,Boavista,3,4,1,0,2,2,3,47,13,44,11,7,1
19/02/2021,Boavista,3,5,0,1,2,3,2,40,11,52,11,8,1
26/02/2021,Boavista,3,3,1,1,1,2,1,35,12,55,18,9,1
