Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
18/09/2020,Famalicao,1,5,0,0,1,0,3,6,2,14,3,1,0
28/09/2020,Famalicao,2,1,1,0,0,0,1,6,2,24,2,5,0
04/10/2020,Famalicao,1,1,0,1,0,1,0,13,5,11,3,2,0
18/10/2020,Famalicao,4,7,1,1,1,1,4,25,9,49,8,8,0
25/10/2020,Famalicao,6,5,1,2,0,1,3,32,12,49,14,9,1
02/11/2020,Famalicao,6,6,0,3,0,1,2,43,16,35,21,7,1
07/11/2020,Famalicao,5,6,0,2,1,0,2,35,13,38,20,10,2
27/11/2020,Famalicao,4,4,1,1,1,2,1,40,16,42,15,11,1
05/12/2020,Famalicao,2,4,1,0,2,2,2,32,11,49,9,12,1
18/12/2020,Famalicao,4,5,1,1,1,3,4,32,11,55,10,13,0
27/12/2020,Famalicao,2,4,0,2,1,1,3,22,7,54,7,13,0
03/01/2021,Famalicao,2,3,0,2,1,1,3,20,7,50,8,10,0
08/01/2021,Famalicao,0,2,0,1,2,0,1,32,12,43,10,9,0
17/01/2021,Famalicao,1,6,0,0,3,1,3,32,11,47,12,11,0
24/01/2021,Famalicao,3,6,1,0,2,1,2,34,14,57,12,14,0
30/01/2021,Famalicao,3,6,1,0,2,1,3,28,12,61,14,11,0
04/02/2021,Famalicao,3,4,1,0,2,1,1,34,13,55,14,7,0
08/02/2021,Famalicao,1,5,0,0,3,1,3,44,11,42,15,5,1
12/02/2021,Famalicao,1,6,0,0,3,1,4,43,11,37,9,5,1
21/02/2021,Famalicao,0,4,0,1,2,0,4,37,12,36,10,7,1
27/02/2021,Famalicao,1,2,1,1,1,1,2,26,15,46,13,8,0
