Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
20/09/2020,Farense,0,2,0,0,1,0,1,10,2,13,6,4,1
27/09/2020,Farense,0,1,0,0,1,0,0,18,4,11,11,1,0
04/10/2020,Farense,2,3,0,0,1,0,1,14,9,12,2,3,0
18/10/2020,Farense,2,6,0,0,3,0,2,42,15,36,19,8,1
25/10/2020,Farense,5,7,0,1,2,2,1,45,18,42,19,6,0
31/10/2020,Farense,5,7,0,1,2,2,2,40,15,48,14,9,0
08/11/2020,Farense,4,5,0,2,1,2,1,36,8,48,18,6,1
29/11/2020,Farense,4,3,1,1,1,1,2,29,8,49,17,8,1
07/12/2020,Farense,4,3,1,1,1,1,1,22,7,49,14,7,1
19/12/2020,Farense,5,3,2,0,1,2,1,16,9,54,9,11,0
27/12/2020,Farense,2,3,1,0,2,1,0,18,7,58,6,13,1
04/01/2021,Farense,3,3,1,1,1,1,0,18,8,65,8,13,1
10/01/2021,Farense,1,4,0,1,2,0,0,20,4,59,8,11,1
25/01/2021,Farense,4,4,1,1,1,2,1,22,5,50,13,6,1
30/01/2021,Farense,3,4,1,0,2,2,2,21,5,38,15,4,1
04/02/2021,Farense,3,4,1,0,2,2,2,25,7,43,19,3,1
08/02/2021,Farense,1,4,0,1,2,1,1,31,7,43,23,2,0
13/02/2021,Farense,2,5,0,1,2,1,1,41,10,50,26,5,0
17/02/2021,Farense,5,5,1,1,1,1,1,40,12,50,31,6,0
21/02/2021,Farense,6,6,1,1,1,1,3,32,11,52,24,9,1
27/02/2021,Farense,5,4,1,2,0,1,2,25,10,51,18,7,1
