Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
27/09/2020,Gil Vicente,1,0,1,0,0,0,0,9,3,14,10,2,0
03/10/2020,Gil Vicente,0,0,0,1,0,0,0,8,1,18,3,3,0
17/10/2020,Gil Vicente,1,1,0,1,0,1,0,13,4,17,5,2,0
24/10/2020,Gil Vicente,2,1,1,2,0,1,0,30,8,49,18,7,0
28/10/2020,Gil Vicente,1,2,0,2,1,1,1,34,7,50,11,7,0
01/11/2020,Gil Vicente,2,5,0,1,2,1,1,30,7,51,12,8,0
08/11/2020,Gil Vicente,2,6,0,0,3,0,2,38,7,48,15,7,0
29/11/2020,Gil Vicente,3,7,0,0,3,1,1,35,13,53,23,9,0
05/12/2020,Gil Vicente,4,4,1,0,2,2,1,35,14,53,21,6,0
20/12/2020,Gil Vicente,4,3,1,1,1,2,0,20,12,57,15,7,0
27/12/2020,Gil Vicente,3,3,1,1,1,1,0,24,9,47,8,6,1
04/01/2021,Gil Vicente,2,3,1,1,1,1,0,28,10,37,12,6,1
10/01/2021,Gil Vicente,1,2,1,1,1,1,0,35,13,29,18,6,1
17/01/2021,Gil Vicente,2,3,1,1,1,2,2,28,11,37,20,5,0
26/01/2021,Gil Vicente,1,4,0,1,2,1,2,34,11,47,17,5,0
02/02/2021,Gil Vicente,1,5,0,0,3,1,2,27,6,49,13,4,0
05/02/2021,Gil Vicente,1,4,0,0,3,0,2,23,6,47,15,5,0
09/02/2021,Gil Vicente,3,4,1,0,2,1,3,21,8,52,17,7,0
14/02/2021,Gil Vicente,4,5,1,0,2,2,3,21,10,59,14,10,0
20/02/2021,Gil Vicente,4,7,1,0,2,3,3,27,10,56,10,7,0
28/02/2021,Gil Vicente,3,6,1,0,2,2,2,25,8,48,11,8,0
