Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
18/09/2020,Guimaraes,0,1,0,0,1,0,0,11,2,14,7,1,0
27/09/2020,Guimaraes,0,0,0,1,0,0,0,10,3,16,4,3,0
02/10/2020,Guimaraes,1,0,1,0,0,0,0,8,1,11,2,4,0
19/10/2020,Guimaraes,1,1,1,1,1,0,0,29,6,41,13,8,0
25/10/2020,Guimaraes,2,0,2,1,0,1,0,27,5,49,10,9,0
01/11/2020,Guimaraes,2,1,2,0,1,1,1,28,3,44,10,9,1
07/11/2020,Guimaraes,3,2,2,0,1,2,1,27,7,44,12,7,1
27/11/2020,Guimaraes,2,6,1,0,2,1,3,33,7,38,13,8,1
05/12/2020,Guimaraes,4,5,2,0,1,1,2,32,11,42,11,7,0
21/12/2020,Guimaraes,3,4,2,0,1,1,2,35,9,51,12,11,0
29/12/2020,Guimaraes,7,0,3,0,0,4,0,27,13,48,10,8,0
09/01/2021,Guimaraes,7,3,2,0,1,5,1,21,10,48,8,8,0
21/01/2021,Guimaraes,8,5,1,1,1,5,2,20,10,40,6,5,0
24/01/2021,Guimaraes,7,6,1,1,1,3,3,23,9,52,6,8,0
31/01/2021,Guimaraes,6,3,2,1,0,3,2,28,10,54,10,10,0
05/02/2021,Guimaraes,5,1,3,0,0,2,1,32,11,65,14,9,0
08/02/2021,Guimaraes,2,0,2,1,0,1,0,27,9,59,13,8,0
13/02/2021,Guimaraes,2,1,1,2,0,1,1,27,10,55,16,6,0
17/02/2021,Guimaraes,2,4,0,2,1,1,3,29,13,47,20,6,0
21/02/2021,Guimaraes,4,6,0,2,1,3,4,39,14,42,26,4,0
26/02/2021,Guimaraes,4,7,0,1,2,3,4,40,13,43,22,4,0
