Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
20/09/2020,Maritimo,0,2,0,0,1,0,0,12,2,17,6,1,0
26/09/2020,Maritimo,2,1,1,0,0,2,1,8,6,19,0,4,1
03/10/2020,Maritimo,3,2,1,0,0,1,1,11,4,16,0,4,0
17/10/2020,Maritimo,5,5,2,0,1,3,2,31,12,52,6,9,1
25/10/2020,Maritimo,6,5,2,0,1,3,2,29,14,58,10,12,1
31/10/2020,Maritimo,5,6,1,0,2,1,3,33,11,46,13,12,1
07/11/2020,Maritimo,2,4,0,1,2,0,2,37,11,50,16,9,1
30/11/2020,Maritimo,2,4,0,1,2,1,4,37,11,45,8,7,1
07/12/2020,Maritimo,2,4,0,1,2,2,3,30,10,59,6,3,0
19/12/2020,Maritimo,3,6,0,0,3,2,4,25,10,55,7,7,1
28/12/2020,Maritimo,3,4,1,0,2,1,2,25,8,52,9,8,1
03/01/2021,Maritimo,5,3,2,0,1,0,2,33,12,45,13,10,1
07/01/2021,Maritimo,4,1,2,1,0,0,1,32,12,45,11,8,0
17/01/2021,Maritimo,4,3,1,1,1,0,2,31,12,39,8,9,0
24/01/2021,Maritimo,2,2,1,1,1,0,1,34,7,41,7,12,0
31/01/2021,Maritimo,2,5,1,0,2,0,2,38,7,40,10,11,0
05/02/2021,Maritimo,1,4,1,0,2,0,1,38,10,49,10,9,0
08/02/2021,Maritimo,0,6,0,0,3,0,2,27,9,52,8,6,0
16/02/2021,Maritimo,1,5,0,0,3,0,1,30,10,57,6,5,0
22/02/2021,Maritimo,2,6,0,0,3,1,2,26,8,58,6,8,0
28/02/2021,Maritimo,3,6,0,0,3,2,2,33,15,60,7,12,0
