Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
20/09/2020,Moreirense,2,0,1,0,0,1,0,13,5,17,4,2,0
26/09/2020,Moreirense,0,2,0,0,1,0,1,5,1,15,1,0,0
02/10/2020,Moreirense,1,1,0,1,0,0,1,14,6,10,5,1,0
18/10/2020,Moreirense,3,3,1,1,1,1,2,32,12,42,10,3,0
25/10/2020,Moreirense,1,3,0,2,1,0,2,27,11,39,9,3,0
31/10/2020,Moreirense,3,2,1,2,0,2,1,35,17,39,17,8,0
28/11/2020,Moreirense,2,3,1,1,1,2,1,28,12,47,17,11,0
01/12/2020,Moreirense,3,5,1,0,2,3,2,22,8,46,14,11,0
05/12/2020,Moreirense,1,5,0,0,3,1,3,19,3,49,7,7,0
19/12/2020,Moreirense,2,4,0,1,2,1,2,16,4,48,3,6,0
29/12/2020,Moreirense,1,2,0,2,1,0,1,24,6,46,9,7,0
03/01/2021,Moreirense,2,1,1,2,0,0,0,26,6,43,9,7,0
09/01/2021,Moreirense,1,3,1,1,1,0,1,25,6,40,9,4,0
17/01/2021,Moreirense,3,5,1,1,1,1,2,22,10,48,5,3,0
24/01/2021,Moreirense,3,5,1,1,1,1,2,25,12,52,9,7,0
01/02/2021,Moreirense,5,4,1,2,0,3,2,33,13,50,11,10,0
04/02/2021,Moreirense,3,6,1,1,1,2,4,40,11,39,14,10,0
08/02/2021,Moreirense,4,6,1,1,1,4,4,35,10,49,11,10,0
14/02/2021,Moreirense,4,5,2,0,1,3,3,30,10,50,9,10,0
19/02/2021,Moreirense,5,2,2,1,0,4,1,24,9,59,7,10,0
01/03/2021,Moreirense,3,3,1,1,1,2,1,22,7,49,9,7,0
