Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
19/09/2020,Nacional,3,3,0,1,0,2,2,14,7,24,6,4,0
27/09/2020,Nacional,1,0,1,0,0,0,0,9,4,15,5,4,0
04/10/2020,Nacional,0,0,0,1,0,0,0,18,4,9,7,1,0
17/10/2020,Nacional,4,3,1,2,0,2,2,41,15,48,18,9,0
24/10/2020,Nacional,2,2,1,1,1,0,2,32,10,39,14,9,0
31/10/2020,Nacional,2,3,0,2,1,0,2,30,8,47,12,8,1
08/11/2020,Nacional,2,3,0,2,1,0,2,21,7,62,11,10,1
29/11/2020,Nacional,3,2,1,2,0,0,1,29,11,64,17,7,1
06/12/2020,Nacional,2,2,1,1,1,0,1,34,10,51,17,6,1
20/12/2020,Nacional,3,5,1,0,2,1,3,40,11,40,18,6,1
27/12/2020,Nacional,1,6,0,0,3,1,4,31,7,41,11,7,1
08/01/2021,Nacional,3,5,1,0,2,2,4,29,10,47,10,6,0
17/01/2021,Nacional,2,4,1,0,2,1,3,20,7,44,4,6,0
21/01/2021,Nacional,2,3,1,0,2,1,1,34,8,37,8,8,0
25/01/2021,Nacional,1,6,0,0,3,1,2,36,9,29,9,9,0
30/01/2021,Nacional,2,5,0,1,2,1,2,37,10,34,11,8,0
05/02/2021,Nacional,4,5,1,1,1,1,3,36,15,45,15,9,0
09/02/2021,Nacional,3,2,1,2,0,0,2,42,17,62,15,9,0
13/02/2021,Nacional,3,1,2,1,0,1,1,42,16,70,13,11,0
20/02/2021,Nacional,3,3,1,1,1,1,0,35,12,62,10,10,0
28/02/2021,Nacional,4,5,1,0,2,2,1,30,9,49,8,9,0
