Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
21/09/2020,Pacos Ferreira,1,1,0,1,0,1,0,16,5,16,9,1,0
27/09/2020,Pacos Ferreira,0,2,0,0,1,0,1,9,0,18,4,0,0
02/10/2020,Pacos Ferreira,0,1,0,0,1,0,0,16,7,28,7,2,0
18/10/2020,Pacos Ferreira,1,4,0,1,2,1,1,41,12,62,20,3,0
24/10/2020,Pacos Ferreira,2,4,1,0,2,1,1,37,10,61,18,4,0
30/10/2020,Pacos Ferreira,3,3,1,1,1,1,0,46,16,52,20,5,0
27/11/2020,Pacos Ferreira,6,4,2,1,0,3,1,46,16,46,18,4,0
01/12/2020,Pacos Ferreira,6,3,2,1,0,3,1,45,17,53,14,6,0
06/12/2020,Pacos Ferreira,6,2,3,0,0,4,1,39,15,70,10,5,0
20/12/2020,Pacos Ferreira,4,2,2,0,1,3,0,39,13,67,9,7,0
27/12/2020,Pacos Ferreira,3,3,1,1,1,2,0,35,12,58,11,4,0
03/01/2021,Pacos Ferreira,3,4,0,2,1,1,0,36,11,57,12,10,0
10/01/2021,Pacos Ferreira,4,2,1,2,0,1,0,35,10,52,11,7,0
16/01/2021,Pacos Ferreira,5,1,2,1,0,2,0,37,12,50,10,8,0
24/01/2021,Pacos Ferreira,6,0,3,0,0,2,0,32,13,39,9,3,0
02/02/2021,Pacos Ferreira,7,0,3,0,0,2,0,28,14,52,8,6,0
05/02/2021,Pacos Ferreira,7,1,3,0,0,3,0,28,15,62,7,9,0
09/02/2021,Pacos Ferreira,7,2,3,0,0,4,0,29,14,71,8,10,0
15/02/2021,Pacos Ferreira,4,2,2,1,0,3,0,24,10,56,9,9,0
21/02/2021,Pacos Ferreira,2,3,1,1,1,1,1,22,6,55,10,7,0
27/02/2021,Pacos Ferreira,2,3,1,1,1,1,2,21,6,42,10,5,0
