Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
21/09/2020,Portimonense,1,1,0,1,0,0,1,12,3,23,4,1,0
27/09/2020,Portimonense,0,1,0,0,1,0,0,13,2,12,7,3,0
04/10/2020,Portimonense,0,2,0,0,1,0,2,14,6,17,7,1,0
17/10/2020,Portimonense,1,4,0,1,2,0,3,39,11,52,18,5,0
23/10/2020,Portimonense,2,4,1,0,2,0,2,37,11,49,20,6,0
01/11/2020,Portimonense,2,4,1,0,2,0,3,34,13,55,19,5,0
08/11/2020,Portimonense,3,4,1,0,2,0,2,32,9,59,19,7,0
29/11/2020,Portimonense,2,6,0,0,3,1,3,30,7,60,17,8,0
05/12/2020,Portimonense,3,5,1,0,2,1,2,34,7,59,18,9,0
18/12/2020,Portimonense,2,4,1,0,2,1,2,29,6,55,14,10,0
29/12/2020,Portimonense,1,1,1,1,1,0,1,40,11,57,14,10,0
04/01/2021,Portimonense,1,3,0,1,2,0,3,39,9,52,9,11,0
08/01/2021,Portimonense,3,2,1,1,1,0,2,45,13,56,11,10,0
18/01/2021,Portimonense,3,5,1,0,2,0,2,39,10,55,11,10,0
24/01/2021,Portimonense,3,3,2,0,1,1,0,41,15,62,16,9,0
30/01/2021,Portimonense,3,5,1,1,1,2,2,38,14,58,12,8,0
04/02/2021,Portimonense,4,4,1,1,1,3,3,34,13,54,12,8,0
09/02/2021,Portimonense,4,6,0,1,2,3,3,26,11,56,6,7,0
14/02/2021,Portimonense,2,4,0,1,2,2,1,30,10,48,7,6,0
20/02/2021,Portimonense,5,3,1,1,1,3,1,32,12,52,9,5,0
28/02/2021,Portimonense,4,3,1,1,1,2,3,32,8,50,12,6,0
