Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
19/09/2020,Porto,3,1,1,0,0,2,1,11,4,17,5,0,0
26/09/2020,Porto,5,0,1,0,0,0,0,15,6,19,2,0,0
03/10/2020,Porto,2,3,0,0,1,1,1,32,10,19,9,2,0
17/10/2020,Porto,10,4,2,0,1,3,2,58,20,55,16,2,0
24/10/2020,Porto,9,5,1,1,1,3,2,57,21,58,12,6,0
30/10/2020,Porto,5,5,1,1,1,4,2,60,22,56,18,12,1
08/11/2020,Porto,5,5,1,1,1,4,3,38,15,57,13,11,1
28/11/2020,Porto,6,4,2,0,1,3,3,46,17,52,23,10,1
05/12/2020,Porto,6,4,2,0,1,3,3,32,12,49,22,5,0
20/12/2020,Porto,8,4,3,0,0,4,3,38,18,45,23,7,1
29/12/2020,Porto,7,3,3,0,0,5,2,34,16,44,20,4,1
03/01/2021,Porto,9,5,3,0,0,5,3,47,21,40,16,4,1
08/01/2021,Porto,8,2,3,0,0,4,1,51,19,39,17,3,0
15/01/2021,Porto,10,3,3,0,0,4,2,46,19,34,12,4,0
25/01/2021,Porto,8,2,2,1,0,4,2,38,16,41,10,7,1
01/02/2021,Porto,6,2,2,1,0,4,2,36,17,44,8,6,1
04/02/2021,Porto,4,1,2,1,0,3,1,41,17,54,12,6,1
07/02/2021,Porto,3,0,2,1,0,2,0,48,19,50,21,4,0
13/02/2021,Porto,4,2,1,2,0,2,0,40,14,50,22,6,1
22/02/2021,Porto,4,4,0,3,0,1,2,43,15,45,22,7,1
27/02/2021,Porto,6,5,1,2,0,2,3,41,15,50,15,7,1
