Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
20/09/2020,Rio Ave,1,1,0,1,0,0,1,14,4,11,6,0,0
27/09/2020,Rio Ave,0,0,0,1,0,0,0,7,3,13,4,2,0
04/10/2020,Rio Ave,1,1,0,1,0,0,1,13,4,9,5,0,0
18/10/2020,Rio Ave,2,2,0,3,0,0,2,34,11,33,15,2,0
25/10/2020,Rio Ave,1,4,0,2,1,0,3,24,9,36,13,3,0
31/10/2020,Rio Ave,2,4,1,1,1,1,3,23,8,42,10,7,0
06/11/2020,Rio Ave,3,3,2,0,1,2,2,21,10,53,8,8,0
29/11/2020,Rio Ave,3,0,2,1,0,2,0,23,10,56,6,9,0
06/12/2020,Rio Ave,2,2,1,1,1,1,1,29,11,47,13,4,0
22/12/2020,Rio Ave,0,2,0,2,1,0,1,25,8,41,17,5,0
28/12/2020,Rio Ave,0,5,0,1,2,0,2,27,8,36,19,3,0
03/01/2021,Rio Ave,1,6,0,1,2,1,1,25,10,45,15,5,0
08/01/2021,Rio Ave,1,8,0,0,3,1,2,30,9,40,12,3,0
15/01/2021,Rio Ave,4,5,1,0,2,1,1,38,14,38,12,3,0
25/01/2021,Rio Ave,4,3,1,1,1,0,2,34,10,36,10,6,0
01/02/2021,Rio Ave,5,3,1,1,1,1,2,33,13,40,12,12,0
05/02/2021,Rio Ave,2,5,0,1,2,1,3,25,8,41,16,14,0
09/02/2021,Rio Ave,1,4,0,1,2,1,2,34,11,38,19,10,0
13/02/2021,Rio Ave,2,3,1,1,1,0,2,29,8,38,15,8,0
21/02/2021,Rio Ave,5,2,2,1,0,2,1,26,9,44,7,8,0
01/03/2021,Rio Ave,5,3,2,0,1,2,2,16,6,39,6,7,1
