Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
20/09/2020,Santa Clara,2,0,1,0,0,0,0,12,5,15,5,2,0
25/09/2020,Santa Clara,1,0,1,0,0,1,0,6,1,17,0,4,0
03/10/2020,Santa Clara,0,0,0,1,0,0,0,12,3,14,8,1,0
18/10/2020,Santa Clara,3,0,2,1,0,1,0,30,9,46,13,7,0
24/10/2020,Santa Clara,2,2,1,1,1,1,1,33,9,47,10,7,0
01/11/2020,Santa Clara,2,4,0,1,2,1,2,32,10,48,11,6,0
07/11/2020,Santa Clara,4,5,1,0,2,2,2,33,14,47,8,11,0
28/11/2020,Santa Clara,3,5,1,0,2,2,2,38,13,44,9,12,0
06/12/2020,Santa Clara,2,4,1,0,2,1,2,40,13,38,10,11,0
21/12/2020,Santa Clara,3,4,1,0,2,2,3,40,14,34,17,7,0
29/12/2020,Santa Clara,3,6,1,0,2,2,5,31,12,39,21,5,0
03/01/2021,Santa Clara,3,6,1,0,2,2,4,32,11,51,19,8,0
09/01/2021,Santa Clara,1,6,0,1,2,0,4,31,7,57,10,9,0
17/01/2021,Santa Clara,2,3,0,2,1,1,2,27,7,66,7,12,0
25/01/2021,Santa Clara,3,4,0,2,1,1,2,30,8,58,8,12,0
01/02/2021,Santa Clara,4,4,1,1,1,2,2,30,9,59,7,10,0
04/02/2021,Santa Clara,5,3,2,0,1,2,1,32,10,55,5,9,0
08/02/2021,Santa Clara,5,2,2,1,0,2,2,32,11,56,11,7,0
14/02/2021,Santa Clara,5,2,2,1,0,1,1,28,9,62,14,9,0
20/02/2021,Santa Clara,3,3,1,1,1,0,2,28,8,56,21,9,0
27/02/2021,Santa Clara,2,3,1,0,2,0,1,27,6,54,18,9,0
