Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
19/09/2020,Sp Braga,1,3,0,0,1,1,2,7,1,18,1,0,0
25/09/2020,Sp Braga,0,1,0,0,1,0,1,22,4,13,8,2,0
03/10/2020,Sp Braga,4,0,1,0,0,4,0,18,8,15,8,0,0
17/10/2020,Sp Braga,5,4,1,0,2,5,3,47,13,46,17,2,0
25/10/2020,Sp Braga,6,2,2,0,1,6,1,60,19,39,20,3,0
02/11/2020,Sp Braga,7,1,3,0,0,7,0,54,23,46,21,3,2
08/11/2020,Sp Braga,4,1,3,0,0,3,0,56,24,45,24,4,2
29/11/2020,Sp Braga,5,2,3,0,0,2,0,43,22,47,23,6,2
06/12/2020,Sp Braga,5,2,3,0,0,1,0,43,21,46,21,7,0
22/12/2020,Sp Braga,5,4,2,0,1,1,2,39,18,47,19,7,1
28/12/2020,Sp Braga,5,2,2,0,1,1,2,42,18,58,19,5,1
02/01/2021,Sp Braga,8,3,2,0,1,4,2,37,18,54,18,3,1
07/01/2021,Sp Braga,7,3,2,0,1,4,0,33,15,56,13,6,0
16/01/2021,Sp Braga,6,4,2,0,1,4,0,41,13,50,14,8,0
26/01/2021,Sp Braga,2,5,1,0,2,1,0,42,10,55,12,9,0
01/02/2021,Sp Braga,3,3,2,0,1,1,0,43,8,54,15,10,0
04/02/2021,Sp Braga,5,2,2,0,1,3,0,39,12,56,16,8,0
07/02/2021,Sp Braga,7,1,3,0,0,3,1,43,12,48,16,6,0
14/02/2021,Sp Braga,8,3,2,1,0,3,2,45,16,50,15,4,0
21/02/2021,Sp Braga,5,3,2,1,0,1,2,39,12,48,13,5,0
28/02/2021,Sp Braga,7,4,2,1,0,4,1,42,15,51,17,5,0
