Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
27/09/2020,Sp Lisbon,2,0,1,0,0,1,0,11,5,12,8,0,0
04/10/2020,Sp Lisbon,2,0,1,0,0,2,0,10,4,20,2,1,0
17/10/2020,Sp Lisbon,2,2,0,1,0,1,2,13,5,18,4,5,1
24/10/2020,Sp Lisbon,6,2,2,1,0,4,2,34,14,50,14,6,1
28/10/2020,Sp Lisbon,6,3,2,1,0,4,3,41,12,47,15,7,1
01/11/2020,Sp Lisbon,7,4,2,1,0,2,3,44,14,42,22,11,1
07/11/2020,Sp Lisbon,9,2,3,0,0,2,1,57,24,38,26,9,0
28/11/2020,Sp Lisbon,11,1,3,0,0,3,0,55,27,47,19,9,0
05/12/2020,Sp Lisbon,10,1,3,0,0,4,1,55,26,49,19,5,0
19/12/2020,Sp Lisbon,8,3,2,1,0,5,2,44,17,56,15,7,1
27/12/2020,Sp Lisbon,5,3,2,1,0,3,2,46,14,58,20,10,1
02/01/2021,Sp Lisbon,5,3,2,1,0,4,2,39,13,57,14,12,1
08/01/2021,Sp Lisbon,5,1,3,0,0,2,1,30,11,53,15,10,0
15/01/2021,Sp Lisbon,6,1,3,0,0,3,1,36,13,43,18,7,0
26/01/2021,Sp Lisbon,5,1,2,1,0,2,0,44,13,45,20,7,0
01/02/2021,Sp Lisbon,5,1,2,1,0,3,0,52,15,41,23,6,0
05/02/2021,Sp Lisbon,4,1,2,1,0,2,0,38,12,43,21,8,0
09/02/2021,Sp Lisbon,5,0,3,0,0,2,0,43,12,47,21,6,0
15/02/2021,Sp Lisbon,5,1,3,0,0,1,1,50,11,40,17,5,0
20/02/2021,Sp Lisbon,6,1,3,0,0,2,1,47,12,55,11,7,0
27/02/2021,Sp Lisbon,6,1,3,0,0,3,1,42,15,48,11,6,0
