Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
20/09/2020,Tondela,1,1,0,1,0,1,0,7,2,15,1,1,0
26/09/2020,Tondela,1,2,0,0,1,1,2,21,6,16,8,2,0
03/10/2020,Tondela,0,4,0,0,1,0,4,13,4,13,5,1,0
17/10/2020,Tondela,2,7,0,1,2,2,6,41,12,44,14,4,0
23/10/2020,Tondela,2,7,0,1,2,1,7,36,11,47,14,6,1
01/11/2020,Tondela,2,5,1,1,1,1,5,23,8,41,11,6,1
07/11/2020,Tondela,2,5,1,1,1,1,2,13,4,48,7,7,1
27/11/2020,Tondela,3,4,2,0,1,2,1,22,8,49,9,6,0
05/12/2020,Tondela,2,6,1,0,2,1,1,27,9,53,9,5,1
19/12/2020,Tondela,5,6,1,0,2,3,2,32,13,45,10,8,1
27/12/2020,Tondela,3,6,0,1,2,2,2,27,9,43,8,10,2
03/01/2021,Tondela,3,6,0,1,2,2,3,27,7,47,9,15,3
08/01/2021,Tondela,1,2,1,1,1,0,1,28,6,50,11,14,3
16/01/2021,Tondela,1,4,1,0,2,0,1,25,7,44,10,10,2
25/01/2021,Tondela,4,3,2,0,1,1,0,30,12,42,11,5,0
30/01/2021,Tondela,3,5,1,0,2,1,2,33,11,46,16,4,0
05/02/2021,Tondela,5,3,2,0,1,1,2,37,11,58,21,9,0
09/02/2021,Tondela,3,4,1,0,2,0,3,27,7,56,17,9,0
16/02/2021,Tondela,4,4,1,0,2,1,1,26,10,47,11,8,0
21/02/2021,Tondela,4,5,1,0,2,2,2,32,14,46,8,7,0
28/02/2021,Tondela,5,7,1,0,2,2,4,32,14,44,7,8,0
