Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Alaves,0,1,0,0,1,0,0,7,2,19,6,3,0
20/09/2020,Alaves,1,2,0,0,1,1,1,5,3,12,4,3,0
26/09/2020,Alaves,0,0,0,1,0,0,0,9,0,13,1,2,0
30/09/2020,Alaves,1,3,0,1,2,1,1,21,5,44,11,8,0
04/10/2020,Alaves,2,5,0,1,2,2,3,22,6,38,5,7,0
18/10/2020,Alaves,2,3,1,1,1,1,2,25,6,46,1,6,1
25/10/2020,Alaves,2,5,1,0,2,1,3,29,8,44,2,6,1
31/10/2020,Alaves,3,2,2,0,1,0,1,35,9,38,6,4,1
08/11/2020,Alaves,3,3,1,1,1,1,1,31,9,34,8,6,1
22/11/2020,Alaves,4,2,1,2,0,2,0,24,9,39,7,10,2
28/11/2020,Alaves,4,4,0,3,0,4,0,23,8,53,7,11,2
06/12/2020,Alaves,5,4,1,2,0,4,0,30,11,54,14,10,1
12/12/2020,Alaves,4,3,1,2,0,3,0,29,10,41,15,5,1
20/12/2020,Alaves,2,2,1,1,1,1,0,19,8,40,13,8,1
23/12/2020,Alaves,0,3,0,1,2,0,1,16,4,35,9,7,1
31/12/2020,Alaves,2,4,1,0,2,2,2,24,6,42,9,10,0
03/01/2021,Alaves,3,4,1,1,1,2,2,36,6,31,11,10,0
10/01/2021,Alaves,4,4,1,1,1,2,2,32,5,33,7,8,1
19/01/2021,Alaves,3,6,0,1,2,1,2,24,4,33,6,8,2
23/01/2021,Alaves,3,7,0,0,3,2,4,21,6,39,5,7,2
31/01/2021,Alaves,3,9,0,0,3,2,6,31,9,41,8,12,1
05/02/2021,Alaves,2,6,0,1,2,1,5,31,8,48,9,11,0
13/02/2021,Alaves,2,4,1,1,1,0,3,39,10,44,17,12,0
21/02/2021,Alaves,2,5,1,1,1,0,2,31,8,42,17,9,0
27/02/2021,Alaves,2,9,1,0,2,0,3,33,9,41,18,8,0
