Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Ath Bilbao,0,2,0,0,1,0,0,9,2,10,2,4,0
27/09/2020,Ath Bilbao,2,1,1,0,0,1,0,9,5,12,4,0,0
01/10/2020,Ath Bilbao,0,1,0,0,1,0,0,13,4,15,5,3,0
04/10/2020,Ath Bilbao,2,4,1,0,2,1,0,31,11,37,11,7,0
18/10/2020,Ath Bilbao,2,3,1,0,2,1,0,30,9,44,15,6,0
24/10/2020,Ath Bilbao,2,2,1,0,2,0,0,35,9,43,20,9,0
31/10/2020,Ath Bilbao,2,2,1,0,2,0,0,35,10,38,20,8,0
08/11/2020,Ath Bilbao,4,2,2,0,1,0,1,43,15,38,20,10,0
23/11/2020,Ath Bilbao,3,4,1,0,2,0,2,46,12,38,22,9,0
29/11/2020,Ath Bilbao,7,3,2,0,1,2,2,47,16,44,23,7,0
04/12/2020,Ath Bilbao,6,3,1,1,1,3,1,36,13,50,19,6,0
12/12/2020,Ath Bilbao,5,3,1,1,1,3,0,29,11,46,12,6,0
15/12/2020,Ath Bilbao,3,5,0,2,1,1,1,28,7,46,16,12,0
18/12/2020,Ath Bilbao,3,7,0,1,2,0,2,33,9,32,20,11,1
22/12/2020,Ath Bilbao,5,5,1,1,1,0,2,33,12,34,21,9,1
31/12/2020,Ath Bilbao,4,4,1,1,1,1,1,29,10,36,15,4,1
03/01/2021,Ath Bilbao,3,2,1,1,1,1,1,23,6,50,11,6,0
06/01/2021,Ath Bilbao,2,2,1,1,1,2,1,26,5,56,11,8,0
25/01/2021,Ath Bilbao,3,4,1,0,2,2,3,25,5,48,10,9,0
31/01/2021,Ath Bilbao,8,4,2,0,1,3,3,32,13,38,12,8,0
07/02/2021,Ath Bilbao,8,6,1,0,2,2,4,26,13,43,10,9,0
15/02/2021,Ath Bilbao,7,4,1,1,1,2,2,29,12,43,13,9,0
21/02/2021,Ath Bilbao,6,3,1,1,1,4,1,31,12,43,17,7,0
26/02/2021,Ath Bilbao,6,2,1,2,0,5,1,42,18,35,20,6,0
