Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
27/09/2020,Ath Madrid,6,1,1,0,0,1,0,17,10,16,1,3,0
30/09/2020,Ath Madrid,0,0,0,1,0,0,0,16,2,10,7,0,0
03/10/2020,Ath Madrid,0,0,0,1,0,0,0,14,1,11,9,1,0
17/10/2020,Ath Madrid,6,1,1,2,0,1,0,47,13,37,17,4,0
24/10/2020,Ath Madrid,2,0,1,2,0,1,0,39,7,39,20,5,0
31/10/2020,Ath Madrid,4,0,2,1,0,1,0,36,11,48,21,7,0
07/11/2020,Ath Madrid,7,1,3,0,0,2,0,33,16,47,14,8,0
21/11/2020,Ath Madrid,9,1,3,0,0,3,0,41,19,39,12,5,0
28/11/2020,Ath Madrid,8,1,3,0,0,4,0,37,15,32,12,7,0
05/12/2020,Ath Madrid,6,0,3,0,0,3,0,40,15,37,17,10,0
12/12/2020,Ath Madrid,4,0,3,0,0,1,0,38,12,37,19,13,0
19/12/2020,Ath Madrid,3,2,2,0,1,0,1,34,11,41,17,12,0
22/12/2020,Ath Madrid,5,3,2,0,1,1,1,32,11,39,12,8,0
30/12/2020,Ath Madrid,5,3,2,0,1,1,1,25,10,46,13,7,0
03/01/2021,Ath Madrid,6,1,3,0,0,2,0,30,12,37,12,6,0
12/01/2021,Ath Madrid,5,1,3,0,0,2,0,26,10,36,15,7,0
21/01/2021,Ath Madrid,5,1,3,0,0,3,0,23,11,33,13,6,0
24/01/2021,Ath Madrid,6,2,3,0,0,3,1,22,12,35,11,6,0
31/01/2021,Ath Madrid,7,2,3,0,0,3,2,28,13,34,13,6,0
08/02/2021,Ath Madrid,9,4,3,0,0,4,3,32,13,27,12,9,0
13/02/2021,Ath Madrid,9,5,2,1,0,4,3,32,11,30,10,9,0
17/02/2021,Ath Madrid,8,5,2,1,0,3,2,28,10,39,6,12,0
20/02/2021,Ath Madrid,5,4,1,2,0,2,2,33,12,42,12,10,0
28/02/2021,Ath Madrid,3,4,1,1,1,1,2,52,21,40,23,10,0
