Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
27/09/2020,Barcelona,4,0,1,0,0,4,0,17,9,9,8,0,0
01/10/2020,Barcelona,3,0,1,0,0,1,0,6,3,10,7,5,1
04/10/2020,Barcelona,1,1,0,1,0,1,1,12,5,11,6,1,0
17/10/2020,Barcelona,8,1,2,1,0,6,1,35,17,30,21,6,1
24/10/2020,Barcelona,4,2,1,1,1,2,1,25,9,31,15,9,1
31/10/2020,Barcelona,2,5,0,1,2,2,2,29,10,32,15,7,0
07/11/2020,Barcelona,2,5,0,1,2,1,2,42,14,25,23,9,0
21/11/2020,Barcelona,7,6,1,1,1,2,3,53,22,23,30,8,0
29/11/2020,Barcelona,6,4,1,1,1,1,3,56,22,18,31,5,0
05/12/2020,Barcelona,9,3,2,0,1,3,2,51,24,22,22,3,0
13/12/2020,Barcelona,5,3,1,0,2,2,2,54,23,21,26,3,0
16/12/2020,Barcelona,6,2,2,0,1,2,1,65,32,19,30,5,0
19/12/2020,Barcelona,4,3,2,0,1,2,2,59,25,29,27,7,0
22/12/2020,Barcelona,5,3,2,1,0,3,2,63,26,32,22,9,0
29/12/2020,Barcelona,7,3,2,1,0,5,2,60,23,38,15,9,0
03/01/2021,Barcelona,6,3,1,2,0,3,1,62,24,26,18,6,0
06/01/2021,Barcelona,5,1,2,1,0,3,0,57,22,27,16,2,0
09/01/2021,Barcelona,5,3,2,1,0,3,1,49,21,23,15,1,0
24/01/2021,Barcelona,8,2,3,0,0,6,1,46,20,20,11,4,0
31/01/2021,Barcelona,9,2,3,0,0,6,1,41,21,18,12,6,0
07/02/2021,Barcelona,8,1,3,0,0,5,0,40,18,24,15,7,0
13/02/2021,Barcelona,7,3,3,0,0,2,1,39,18,28,19,7,0
21/02/2021,Barcelona,10,4,3,0,0,3,1,41,19,29,17,5,0
24/02/2021,Barcelona,9,4,2,1,0,3,1,49,17,30,18,3,0
27/02/2021,Barcelona,9,2,2,1,0,3,0,46,18,31,19,0,0
