Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Betis,1,0,1,0,0,0,0,11,4,17,4,3,0
20/09/2020,Betis,2,0,1,0,0,2,0,16,6,18,5,3,0
26/09/2020,Betis,2,3,0,0,1,2,1,15,5,9,8,5,1
29/09/2020,Betis,5,3,2,0,1,4,1,42,15,44,17,11,1
03/10/2020,Betis,4,6,1,0,2,4,4,41,13,44,17,12,2
18/10/2020,Betis,4,6,1,0,2,3,4,42,15,40,19,11,2
24/10/2020,Betis,2,6,1,0,2,1,4,34,11,42,17,8,1
01/11/2020,Betis,2,5,1,0,2,1,1,36,12,37,18,4,1
07/11/2020,Betis,3,6,1,0,2,2,1,36,14,36,12,4,1
23/11/2020,Betis,5,8,1,0,2,3,1,41,19,35,11,4,2
30/11/2020,Betis,5,10,1,0,2,3,3,36,17,31,9,4,1
06/12/2020,Betis,2,11,0,0,3,1,3,26,10,31,14,4,1
13/12/2020,Betis,2,6,1,0,2,0,2,26,9,33,14,4,0
20/12/2020,Betis,3,3,1,1,1,0,1,30,13,38,15,6,0
23/12/2020,Betis,3,3,1,1,1,0,3,37,11,41,19,8,0
29/12/2020,Betis,2,3,1,1,1,0,3,31,7,47,19,7,0
02/01/2021,Betis,4,6,1,0,2,1,5,39,9,48,21,7,0
11/01/2021,Betis,5,5,1,1,1,1,3,41,11,47,13,8,0
20/01/2021,Betis,6,5,1,1,1,1,3,50,15,42,14,9,1
23/01/2021,Betis,5,2,2,1,0,2,1,43,12,41,13,9,1
01/02/2021,Betis,6,3,2,1,0,2,1,34,13,39,14,6,1
07/02/2021,Betis,5,3,2,1,0,2,1,27,12,38,11,5,0
14/02/2021,Betis,5,5,1,1,1,1,0,23,13,46,9,4,0
19/02/2021,Betis,5,4,2,0,1,2,0,31,13,46,9,4,0
28/02/2021,Betis,5,4,2,0,1,2,0,35,14,51,11,8,1
