Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Cadiz,0,2,0,0,1,0,1,12,3,14,6,2,0
20/09/2020,Cadiz,2,0,1,0,0,1,0,6,4,23,1,3,0
27/09/2020,Cadiz,1,3,0,0,1,0,0,12,5,9,6,4,0
01/10/2020,Cadiz,3,5,1,0,2,1,1,30,12,46,13,9,0
04/10/2020,Cadiz,4,3,2,0,1,1,0,21,10,48,9,12,2
17/10/2020,Cadiz,3,4,1,1,1,0,1,29,10,41,10,11,2
25/10/2020,Cadiz,3,1,2,1,0,1,1,31,10,37,15,7,2
30/10/2020,Cadiz,2,1,1,2,0,1,1,33,9,36,13,4,0
07/11/2020,Cadiz,3,0,2,1,0,3,0,25,9,30,13,3,0
22/11/2020,Cadiz,2,4,1,1,1,2,2,21,7,34,9,4,0
28/11/2020,Cadiz,2,5,1,0,2,2,2,18,7,33,10,4,0
05/12/2020,Cadiz,1,6,0,1,2,0,3,19,5,38,17,5,0
14/12/2020,Cadiz,3,3,1,1,1,1,1,16,5,39,15,4,0
20/12/2020,Cadiz,3,6,1,1,1,1,5,26,7,34,19,3,0
23/12/2020,Cadiz,2,7,1,0,2,1,5,27,6,25,12,2,0
29/12/2020,Cadiz,0,7,0,0,3,0,5,26,6,24,12,3,0
04/01/2021,Cadiz,0,3,0,1,2,0,1,22,7,29,8,5,0
10/01/2021,Cadiz,1,2,0,2,1,0,0,23,8,40,13,6,0
19/01/2021,Cadiz,4,2,1,2,0,1,1,27,12,48,12,6,0
23/01/2021,Cadiz,6,4,1,2,0,3,3,27,11,47,16,6,0
31/01/2021,Cadiz,5,6,1,1,1,3,5,27,12,36,15,7,0
07/02/2021,Cadiz,4,9,0,1,2,3,6,28,11,26,13,7,0
15/02/2021,Cadiz,3,11,0,0,3,1,6,22,10,20,9,6,1
21/02/2021,Cadiz,3,12,0,0,3,1,7,24,9,29,8,6,1
28/02/2021,Cadiz,2,9,0,1,2,0,6,16,4,34,6,7,1
