Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Celta,0,0,0,1,0,0,0,6,3,13,3,4,0
19/09/2020,Celta,2,1,1,0,0,1,0,23,6,12,6,3,0
27/09/2020,Celta,1,1,0,1,0,1,0,5,1,18,1,4,0
01/10/2020,Celta,3,2,1,2,0,2,0,34,10,43,10,11,0
04/10/2020,Celta,3,5,1,1,1,2,1,38,10,52,10,12,0
17/10/2020,Celta,1,6,0,1,2,1,2,24,7,50,9,12,0
26/10/2020,Celta,0,7,0,0,3,0,3,34,11,48,16,11,0
01/11/2020,Celta,1,5,0,1,2,0,2,34,11,45,15,8,0
06/11/2020,Celta,2,7,0,1,2,0,3,34,10,54,12,7,1
21/11/2020,Celta,3,6,0,2,1,1,3,33,11,50,7,8,1
29/11/2020,Celta,4,9,0,1,2,3,5,33,15,51,7,8,1
04/12/2020,Celta,6,6,1,1,1,4,4,41,21,46,13,10,1
14/12/2020,Celta,7,5,2,0,1,3,3,33,19,49,15,7,1
20/12/2020,Celta,9,1,3,0,0,5,1,31,17,53,14,7,1
23/12/2020,Celta,8,0,3,0,0,5,0,25,12,57,9,5,0
30/12/2020,Celta,7,1,2,1,0,6,1,21,9,58,8,7,0
02/01/2021,Celta,5,2,2,1,0,3,1,28,10,53,7,7,0
08/01/2021,Celta,3,4,1,1,1,2,2,23,8,49,9,7,0
20/01/2021,Celta,2,7,1,0,2,1,5,29,10,48,8,5,0
24/01/2021,Celta,1,8,0,0,3,1,7,24,7,44,14,6,0
31/01/2021,Celta,2,7,0,1,2,2,6,25,10,40,9,8,0
08/02/2021,Celta,2,3,0,2,1,2,2,24,8,44,11,11,0
12/02/2021,Celta,3,3,0,3,0,2,1,21,7,46,9,10,0
20/02/2021,Celta,5,3,1,2,0,3,1,23,9,47,12,9,0
28/02/2021,Celta,5,5,1,1,1,3,1,21,10,47,8,8,1
