Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Eibar,0,0,0,1,0,0,0,8,1,17,3,4,1
19/09/2020,Eibar,1,2,0,0,1,0,0,12,4,12,3,1,0
27/09/2020,Eibar,1,2,0,0,1,0,1,7,1,15,5,1,0
30/09/2020,Eibar,2,4,0,1,2,0,1,27,6,44,11,6,1
03/10/2020,Eibar,2,5,0,0,3,0,2,31,9,36,11,4,0
18/10/2020,Eibar,3,4,1,0,2,1,3,30,10,45,12,6,1
24/10/2020,Eibar,2,2,1,1,1,1,2,33,15,44,13,7,1
30/10/2020,Eibar,3,1,2,1,0,2,1,24,12,47,13,8,1
07/11/2020,Eibar,1,2,1,1,1,1,2,22,10,36,16,6,0
22/11/2020,Eibar,2,3,1,1,1,2,2,20,7,52,13,4,0
30/11/2020,Eibar,1,3,0,2,1,1,2,32,11,56,13,4,1
07/12/2020,Eibar,3,1,1,2,0,1,0,34,14,60,8,4,1
13/12/2020,Eibar,2,0,1,2,0,0,0,45,14,45,13,7,1
20/12/2020,Eibar,3,1,1,2,0,0,1,46,13,40,14,7,0
23/12/2020,Eibar,2,4,0,2,1,1,3,45,10,37,16,7,0
29/12/2020,Eibar,3,6,0,1,2,2,5,34,11,36,15,6,0
03/01/2021,Eibar,3,6,0,1,2,2,4,27,10,40,18,5,0
10/01/2021,Eibar,4,3,1,1,1,1,2,32,14,39,18,6,0
21/01/2021,Eibar,4,3,1,1,1,0,0,41,14,33,20,4,0
24/01/2021,Eibar,4,4,1,0,2,1,1,44,13,42,16,4,0
30/01/2021,Eibar,3,5,0,1,2,1,2,38,8,48,18,5,0
07/02/2021,Eibar,2,5,0,1,2,1,3,38,10,50,15,9,0
13/02/2021,Eibar,2,5,0,1,2,1,3,38,11,37,13,7,0
20/02/2021,Eibar,2,5,0,1,2,2,3,43,11,36,14,6,0
27/02/2021,Eibar,2,4,0,1,2,2,3,39,8,35,12,3,0
