Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
26/09/2020,Elche,0,3,0,0,1,0,0,5,2,11,2,3,0
30/09/2020,Elche,1,0,1,0,0,1,0,5,2,14,2,2,0
03/10/2020,Elche,0,0,0,1,0,0,0,2,0,8,0,0,0
18/10/2020,Elche,1,3,1,1,1,1,0,12,4,33,4,5,0
23/10/2020,Elche,3,0,2,1,0,2,0,14,5,33,8,7,0
01/11/2020,Elche,4,1,2,1,0,3,0,12,5,34,6,8,0
06/11/2020,Elche,5,4,2,0,1,3,2,14,7,38,7,9,0
21/11/2020,Elche,4,5,1,1,1,3,3,15,5,45,4,7,0
28/11/2020,Elche,3,5,0,2,1,1,4,23,8,41,8,8,0
06/12/2020,Elche,3,3,0,3,0,2,2,23,9,45,8,13,1
13/12/2020,Elche,2,2,0,3,0,1,1,18,8,40,5,12,1
19/12/2020,Elche,1,2,0,2,1,1,1,16,4,45,7,12,1
22/12/2020,Elche,1,4,0,1,2,0,2,20,4,43,11,8,0
30/12/2020,Elche,3,6,0,1,2,0,3,24,6,38,15,7,0
03/01/2021,Elche,4,6,0,2,1,0,3,21,8,30,11,4,0
11/01/2021,Elche,3,4,0,2,1,0,3,18,7,29,10,3,0
19/01/2021,Elche,2,5,0,1,2,1,3,18,9,35,7,6,1
24/01/2021,Elche,3,6,0,1,2,3,2,21,9,46,10,8,1
30/01/2021,Elche,3,7,0,1,2,3,2,20,9,48,6,7,1
06/02/2021,Elche,2,5,0,1,2,2,2,23,6,49,15,10,0
12/02/2021,Elche,2,5,0,1,2,0,4,22,5,47,14,8,0
20/02/2021,Elche,3,6,0,1,2,0,5,25,5,47,20,10,0
24/02/2021,Elche,4,5,1,1,1,1,4,21,6,48,11,5,0
28/02/2021,Elche,2,6,1,0,2,1,2,19,5,39,10,4,0
