Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
19/09/2020,Getafe,1,0,1,0,0,0,0,7,1,19,4,4,0
26/09/2020,Getafe,0,0,0,1,0,0,0,11,4,13,5,2,0
29/09/2020,Getafe,3,0,1,0,0,3,0,8,4,15,1,4,0
03/10/2020,Getafe,4,0,2,1,0,3,0,26,9,47,10,10,0
17/10/2020,Getafe,3,3,1,1,1,3,1,24,9,41,10,9,0
25/10/2020,Getafe,4,3,2,0,1,3,1,22,9,48,12,11,0
01/11/2020,Getafe,1,4,1,0,2,0,2,24,6,52,17,11,0
08/11/2020,Getafe,3,3,1,1,1,0,2,35,10,64,16,13,1
22/11/2020,Getafe,3,6,0,1,2,1,4,39,11,62,12,12,1
29/11/2020,Getafe,3,5,0,2,1,1,3,37,13,65,10,12,1
05/12/2020,Getafe,2,4,0,2,1,1,3,32,11,56,10,9,0
12/12/2020,Getafe,1,4,0,2,1,0,3,28,6,51,12,13,2
20/12/2020,Getafe,1,5,0,1,2,0,3,28,5,43,13,11,2
23/12/2020,Getafe,2,4,1,0,2,1,2,23,6,49,14,15,2
30/12/2020,Getafe,3,2,1,1,1,2,1,20,9,53,10,11,0
02/01/2021,Getafe,3,2,1,1,1,2,2,22,9,51,7,12,0
11/01/2021,Getafe,1,3,0,1,2,1,3,27,9,42,8,9,0
20/01/2021,Getafe,3,3,1,0,2,1,3,35,13,41,14,8,0
25/01/2021,Getafe,4,2,2,0,1,1,2,37,16,44,15,7,0
31/01/2021,Getafe,5,6,2,0,1,2,2,32,14,49,14,8,0
06/02/2021,Getafe,2,5,1,1,1,1,1,23,8,53,12,9,0
09/02/2021,Getafe,1,8,0,1,2,1,1,16,4,49,10,11,1
14/02/2021,Getafe,0,5,0,1,2,0,0,11,2,47,7,8,1
19/02/2021,Getafe,0,6,0,0,3,0,1,10,1,50,4,8,2
27/02/2021,Getafe,0,4,0,0,3,0,1,11,1,57,5,8,1
