Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Granada,2,0,1,0,0,0,0,4,2,8,1,3,0
20/09/2020,Granada,2,1,1,0,0,1,1,10,3,9,4,0,0
27/09/2020,Granada,1,6,0,0,1,0,1,11,6,14,1,1,0
04/10/2020,Granada,5,7,2,0,1,1,2,25,11,31,6,4,0
17/10/2020,Granada,4,8,1,1,1,2,2,34,14,39,10,3,0
25/10/2020,Granada,3,7,1,1,1,1,1,37,14,46,11,7,0
01/11/2020,Granada,3,1,2,1,0,2,0,31,10,55,11,8,0
08/11/2020,Granada,3,1,2,1,0,2,1,23,7,46,8,8,1
22/11/2020,Granada,2,3,1,1,1,2,3,12,5,41,3,5,1
29/11/2020,Granada,2,6,0,1,2,1,4,23,9,34,7,7,1
06/12/2020,Granada,2,8,0,0,3,1,4,27,9,40,5,8,0
13/12/2020,Granada,5,9,0,1,2,2,3,40,14,41,9,9,0
20/12/2020,Granada,5,6,1,1,1,3,2,37,13,40,9,7,0
23/12/2020,Granada,6,3,2,1,0,4,1,36,14,48,10,7,0
30/12/2020,Granada,3,2,2,0,1,3,0,31,9,47,7,6,0
03/01/2021,Granada,4,3,2,0,1,3,1,42,9,48,8,8,1
09/01/2021,Granada,2,5,1,0,2,1,1,40,9,36,9,6,1
12/01/2021,Granada,2,7,1,0,2,1,4,38,12,41,12,7,2
20/01/2021,Granada,2,6,1,0,2,2,3,23,9,41,10,4,1
24/01/2021,Granada,4,6,1,1,1,3,4,20,8,43,8,7,2
31/01/2021,Granada,5,5,1,1,1,3,3,24,5,42,9,9,1
06/02/2021,Granada,3,5,0,2,1,1,3,25,8,42,11,10,1
13/02/2021,Granada,3,5,0,2,1,1,3,33,11,44,13,9,0
21/02/2021,Granada,3,4,0,2,1,1,1,27,11,43,15,5,0
28/02/2021,Granada,5,7,0,1,2,2,4,25,11,41,11,6,1
