Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Huesca,1,1,0,1,0,1,0,10,3,22,6,1,0
20/09/2020,Huesca,0,2,0,0,1,0,1,4,0,18,2,3,0
26/09/2020,Huesca,1,1,0,1,0,0,1,17,4,20,4,1,0
30/09/2020,Huesca,2,4,0,2,1,1,2,31,7,60,12,5,0
03/10/2020,Huesca,1,3,0,2,1,0,2,30,7,51,11,5,0
18/10/2020,Huesca,1,1,0,3,0,0,1,44,11,59,14,4,0
25/10/2020,Huesca,2,2,0,3,0,0,1,39,14,53,13,4,0
31/10/2020,Huesca,3,6,0,2,1,0,2,36,15,51,13,4,0
07/11/2020,Huesca,4,10,0,1,2,0,4,27,13,34,11,4,0
20/11/2020,Huesca,3,9,0,1,2,0,4,29,12,36,12,5,0
28/11/2020,Huesca,3,6,0,2,1,1,3,29,13,40,10,7,0
06/12/2020,Huesca,2,3,0,2,1,1,1,25,12,45,8,9,0
12/12/2020,Huesca,4,5,0,2,1,2,1,27,13,45,6,7,0
18/12/2020,Huesca,4,4,1,1,1,1,1,32,11,44,8,5,0
22/12/2020,Huesca,4,5,1,1,1,1,1,33,11,46,12,4,1
30/12/2020,Huesca,2,3,1,1,1,1,0,28,6,40,20,6,1
03/01/2021,Huesca,2,5,0,1,2,1,1,34,9,34,20,5,1
11/01/2021,Huesca,2,4,0,1,2,1,2,32,12,30,17,3,0
20/01/2021,Huesca,1,5,0,0,3,0,2,31,13,32,10,3,0
23/01/2021,Huesca,0,4,0,0,3,0,1,29,10,38,13,7,0
29/01/2021,Huesca,0,3,0,1,2,0,0,30,7,35,12,9,0
06/02/2021,Huesca,3,2,1,1,1,1,0,31,9,35,16,9,0
13/02/2021,Huesca,4,3,1,1,1,1,0,29,8,39,11,7,0
21/02/2021,Huesca,4,4,1,0,2,1,0,33,12,45,16,8,0
27/02/2021,Huesca,4,5,1,0,2,3,1,37,13,46,14,9,0
