Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Levante,2,4,0,0,1,2,2,19,8,14,4,3,0
27/09/2020,Levante,3,1,1,0,0,1,1,11,5,16,7,0,0
01/10/2020,Levante,0,1,0,0,1,0,0,3,1,17,4,2,0
04/10/2020,Levante,5,6,1,0,2,3,3,33,14,47,15,5,0
18/10/2020,Levante,3,4,1,0,2,1,2,25,10,47,15,4,0
26/10/2020,Levante,0,5,0,0,3,0,1,20,6,41,11,5,0
01/11/2020,Levante,1,5,0,1,2,0,1,27,8,35,10,5,0
08/11/2020,Levante,2,4,0,2,1,1,1,35,8,35,14,6,0
21/11/2020,Levante,3,3,0,3,0,1,2,47,12,37,23,6,0
27/11/2020,Levante,3,3,0,3,0,2,2,50,14,41,25,5,0
05/12/2020,Levante,3,3,0,3,0,1,1,41,13,38,28,5,0
13/12/2020,Levante,5,2,1,2,0,3,0,35,16,38,21,6,0
19/12/2020,Levante,4,2,1,1,1,2,0,29,14,38,20,6,0
22/12/2020,Levante,5,2,2,0,1,3,1,32,16,46,12,5,0
29/12/2020,Levante,3,3,1,1,1,1,2,29,9,51,10,6,0
02/01/2021,Levante,7,5,2,1,0,4,3,32,11,45,9,8,1
10/01/2021,Levante,6,6,1,1,1,3,3,28,8,37,11,7,1
19/01/2021,Levante,7,6,2,0,1,3,2,23,9,32,12,6,1
22/01/2021,Levante,5,5,1,1,1,2,3,21,9,34,11,4,0
30/01/2021,Levante,6,5,1,2,0,2,2,23,10,39,14,3,0
06/02/2021,Levante,6,5,1,2,0,3,3,33,16,47,17,3,0
14/02/2021,Levante,6,5,1,2,0,2,2,36,18,48,21,3,0
17/02/2021,Levante,4,4,1,1,1,2,2,38,19,45,15,4,0
20/02/2021,Levante,3,4,0,2,1,2,2,31,15,35,9,3,0
26/02/2021,Levante,3,2,1,1,1,2,1,26,9,38,5,5,0
