Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Osasuna,2,0,1,0,0,1,0,6,4,21,2,2,0
19/09/2020,Osasuna,0,1,0,0,1,0,0,10,3,13,1,2,0
27/09/2020,Osasuna,1,3,0,0,1,1,1,9,4,15,3,2,0
04/10/2020,Osasuna,3,4,1,0,2,2,1,25,11,49,6,6,0
18/10/2020,Osasuna,3,4,1,0,2,2,1,33,12,47,10,7,0
24/10/2020,Osasuna,3,3,1,1,1,2,1,31,11,48,16,8,1
31/10/2020,Osasuna,3,0,2,1,0,1,0,29,9,51,15,9,1
07/11/2020,Osasuna,2,3,1,1,1,0,1,23,7,44,12,7,1
20/11/2020,Osasuna,2,4,1,0,2,0,1,25,7,49,5,7,0
29/11/2020,Osasuna,2,5,0,1,2,0,2,36,12,45,7,6,0
06/12/2020,Osasuna,1,6,0,1,2,0,3,38,14,45,7,5,0
11/12/2020,Osasuna,1,7,0,1,2,0,3,38,12,42,9,5,0
19/12/2020,Osasuna,2,9,0,0,3,2,3,33,11,46,8,8,0
22/12/2020,Osasuna,3,8,0,0,3,2,3,29,7,51,7,10,1
31/12/2020,Osasuna,5,8,0,1,2,3,3,34,13,52,9,9,2
03/01/2021,Osasuna,4,6,0,2,1,1,2,29,10,46,11,7,3
09/01/2021,Osasuna,4,4,0,3,0,2,0,29,11,37,11,6,2
12/01/2021,Osasuna,2,2,0,3,0,1,0,22,7,29,9,4,1
21/01/2021,Osasuna,1,3,0,2,1,1,2,29,7,34,8,5,0
24/01/2021,Osasuna,1,3,0,2,1,1,2,37,10,43,10,7,0
01/02/2021,Osasuna,4,4,1,1,1,3,2,36,12,49,9,12,1
07/02/2021,Osasuna,4,3,1,1,1,3,0,36,14,38,9,9,1
14/02/2021,Osasuna,5,3,2,0,1,3,1,34,13,31,7,6,1
22/02/2021,Osasuna,3,2,2,0,1,1,1,34,11,26,7,3,0
27/02/2021,Osasuna,3,3,2,0,1,1,2,25,6,34,6,4,0
