Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
20/09/2020,Real Madrid,0,0,0,1,0,0,0,16,4,12,11,2,0
26/09/2020,Real Madrid,3,2,1,0,0,1,2,11,4,10,3,2,0
30/09/2020,Real Madrid,1,0,1,0,0,0,0,15,5,11,4,2,0
04/10/2020,Real Madrid,4,2,2,1,0,1,2,42,13,33,18,6,0
17/10/2020,Real Madrid,6,2,3,0,0,2,2,39,12,29,13,5,0
24/10/2020,Real Madrid,3,1,2,0,1,1,1,42,10,26,14,5,0
31/10/2020,Real Madrid,5,2,2,0,1,2,2,42,14,28,17,5,0
08/11/2020,Real Madrid,7,3,2,0,1,3,2,42,17,36,17,4,0
21/11/2020,Real Madrid,8,6,2,0,1,4,3,44,21,43,21,4,0
28/11/2020,Real Madrid,6,6,1,1,1,4,2,35,13,44,16,4,0
05/12/2020,Real Madrid,3,7,0,1,2,2,3,42,16,36,22,6,0
12/12/2020,Real Madrid,3,3,1,1,1,1,1,36,13,42,17,7,0
15/12/2020,Real Madrid,4,2,2,0,1,1,1,41,15,35,18,6,0
20/12/2020,Real Madrid,6,1,3,0,0,2,0,39,11,35,12,5,0
23/12/2020,Real Madrid,8,2,3,0,0,4,1,40,13,22,13,2,0
30/12/2020,Real Madrid,8,2,3,0,0,3,1,52,16,28,18,3,0
02/01/2021,Real Madrid,6,2,2,1,0,3,1,48,17,38,15,6,0
09/01/2021,Real Madrid,5,1,2,1,0,2,0,46,14,45,12,10,0
23/01/2021,Real Madrid,3,1,1,2,0,2,0,32,9,35,8,8,0
30/01/2021,Real Madrid,6,1,2,1,0,4,0,28,10,24,9,7,0
06/02/2021,Real Madrid,5,3,1,1,1,4,1,27,10,19,11,4,1
09/02/2021,Real Madrid,7,4,2,0,1,4,1,36,16,25,17,5,1
14/02/2021,Real Madrid,5,3,2,0,1,1,1,40,13,26,21,3,1
20/02/2021,Real Madrid,6,1,3,0,0,2,0,48,18,30,24,2,0
01/03/2021,Real Madrid,5,0,3,0,0,2,0,40,13,32,19,3,0
