Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
27/09/2020,Sevilla,3,1,1,0,0,0,0,14,5,14,5,2,0
01/10/2020,Sevilla,1,0,1,0,0,0,0,16,2,14,2,5,0
04/10/2020,Sevilla,1,1,0,1,0,1,1,13,1,18,5,1,0
17/10/2020,Sevilla,5,2,2,1,0,1,1,43,8,46,12,8,0
24/10/2020,Sevilla,2,2,1,1,1,1,1,37,6,43,8,10,1
31/10/2020,Sevilla,1,3,0,1,2,1,2,42,7,40,19,5,1
07/11/2020,Sevilla,1,4,0,0,3,1,1,36,9,41,15,9,1
21/11/2020,Sevilla,2,3,1,0,2,1,1,37,7,41,17,7,0
28/11/2020,Sevilla,6,4,2,0,1,3,2,31,14,44,7,9,0
05/12/2020,Sevilla,6,2,3,0,0,2,2,40,15,34,16,7,0
12/12/2020,Sevilla,5,3,2,0,1,2,2,43,16,38,17,6,0
19/12/2020,Sevilla,2,1,2,0,1,0,0,36,6,37,17,7,0
22/12/2020,Sevilla,2,2,1,1,1,1,0,34,5,42,14,7,0
29/12/2020,Sevilla,3,1,2,1,0,1,0,41,6,44,15,8,0
02/01/2021,Sevilla,4,1,2,1,0,2,0,43,9,44,16,6,0
09/01/2021,Sevilla,4,1,2,1,0,1,0,35,8,48,10,5,0
12/01/2021,Sevilla,6,3,2,1,0,3,2,28,12,39,7,3,0
19/01/2021,Sevilla,4,5,1,1,1,2,3,31,11,37,15,2,0
23/01/2021,Sevilla,5,5,2,0,1,4,4,32,12,33,16,3,0
30/01/2021,Sevilla,5,3,2,0,1,4,2,35,12,37,21,4,0
06/02/2021,Sevilla,7,1,3,0,0,5,1,29,14,38,11,7,0
13/02/2021,Sevilla,8,0,3,0,0,3,0,39,16,34,12,5,0
22/02/2021,Sevilla,6,0,3,0,0,1,0,38,13,36,11,7,0
27/02/2021,Sevilla,6,0,3,0,0,1,0,41,14,39,14,6,0
