Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Sociedad,1,1,0,1,0,0,1,8,2,17,3,1,0
20/09/2020,Sociedad,0,0,0,1,0,0,0,6,1,17,1,2,0
26/09/2020,Sociedad,3,0,1,0,0,0,0,27,7,12,11,1,0
29/09/2020,Sociedad,4,1,1,2,0,0,1,41,10,46,15,4,0
03/10/2020,Sociedad,3,1,1,1,1,0,0,44,11,45,21,4,0
18/10/2020,Sociedad,6,1,2,0,1,1,0,49,16,49,25,5,0
25/10/2020,Sociedad,6,1,2,0,1,2,0,30,14,55,16,5,0
01/11/2020,Sociedad,10,1,3,0,0,3,0,32,17,51,11,6,0
08/11/2020,Sociedad,11,2,3,0,0,4,0,30,18,46,9,8,0
22/11/2020,Sociedad,10,2,3,0,0,5,0,44,22,36,22,9,1
29/11/2020,Sociedad,7,1,3,0,0,4,0,45,20,38,24,8,1
06/12/2020,Sociedad,4,1,2,1,0,3,1,44,17,40,25,8,1
13/12/2020,Sociedad,2,1,1,2,0,1,1,35,13,43,13,6,0
16/12/2020,Sociedad,2,2,0,3,0,2,1,29,11,43,12,9,0
19/12/2020,Sociedad,2,3,0,2,1,2,2,33,12,39,11,7,0
22/12/2020,Sociedad,3,5,0,1,2,3,3,35,12,42,12,8,0
31/12/2020,Sociedad,2,6,0,0,3,2,3,33,11,48,12,7,0
03/01/2021,Sociedad,2,4,1,0,2,2,1,34,9,52,13,8,0
09/01/2021,Sociedad,2,3,1,1,1,1,1,27,6,53,16,8,0
23/01/2021,Sociedad,4,4,1,1,1,3,3,31,9,51,20,8,0
30/01/2021,Sociedad,5,6,0,2,1,2,3,30,12,47,24,6,0
07/02/2021,Sociedad,5,6,0,2,1,2,3,34,13,49,24,8,0
14/02/2021,Sociedad,7,4,1,2,0,2,1,41,15,38,20,5,0
21/02/2021,Sociedad,6,2,2,1,0,3,1,32,11,43,17,6,0
01/03/2021,Sociedad,9,1,3,0,0,4,0,28,12,43,14,6,0
