Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Valencia,4,2,1,0,0,2,2,14,8,9,3,1,0
19/09/2020,Valencia,1,2,0,0,1,0,1,9,3,13,6,1,0
26/09/2020,Valencia,1,1,0,1,0,1,0,5,2,14,4,0,0
29/09/2020,Valencia,6,5,1,1,1,3,3,28,13,36,13,2,0
03/10/2020,Valencia,3,3,1,1,1,1,1,23,10,42,13,6,0
18/10/2020,Valencia,2,3,1,1,1,1,1,19,9,40,11,7,0
23/10/2020,Valencia,2,4,1,0,2,1,2,25,10,34,14,8,0
01/11/2020,Valencia,2,6,0,0,3,1,4,30,9,27,18,5,0
08/11/2020,Valencia,4,6,0,1,2,2,3,36,12,34,14,11,1
22/11/2020,Valencia,7,5,1,1,1,3,3,32,13,39,8,13,1
28/11/2020,Valencia,8,5,1,2,0,3,3,31,14,47,6,12,1
07/12/2020,Valencia,6,4,1,1,1,2,3,25,11,41,8,6,0
12/12/2020,Valencia,2,3,0,2,1,0,2,24,11,38,7,5,0
19/12/2020,Valencia,2,3,0,2,1,1,0,22,8,41,2,6,0
22/12/2020,Valencia,4,4,0,3,0,2,1,29,10,43,3,6,0
30/12/2020,Valencia,4,5,0,2,1,2,1,33,10,44,6,7,0
04/01/2021,Valencia,3,5,0,1,2,2,2,38,14,40,12,9,2
10/01/2021,Valencia,2,4,0,1,2,1,1,37,14,37,18,9,2
21/01/2021,Valencia,3,3,1,1,1,1,1,44,16,40,19,9,2
24/01/2021,Valencia,3,2,1,2,0,0,1,38,13,33,22,6,0
30/01/2021,Valencia,3,4,1,1,1,1,2,35,13,36,20,4,0
07/02/2021,Valencia,3,4,1,1,1,2,2,32,11,40,20,2,0
14/02/2021,Valencia,3,4,1,1,1,2,2,37,10,40,17,2,0
20/02/2021,Valencia,2,3,1,1,1,1,3,33,7,38,11,5,0
27/02/2021,Valencia,3,3,1,1,1,0,3,29,6,29,13,6,0
