Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Valladolid,1,1,0,1,0,1,0,8,3,15,5,4,0
20/09/2020,Valladolid,0,2,0,0,1,0,2,9,2,10,3,0,0
27/09/2020,Valladolid,1,1,0,1,0,0,1,10,4,26,4,3,0
30/09/2020,Valladolid,2,4,0,2,1,1,3,27,9,51,12,7,0
03/10/2020,Valladolid,1,4,0,1,2,0,3,30,11,43,14,4,0
18/10/2020,Valladolid,2,4,0,1,2,1,2,30,12,44,14,6,0
25/10/2020,Valladolid,3,5,0,1,2,2,1,25,11,42,11,5,0
02/11/2020,Valladolid,3,6,0,1,2,2,1,19,7,44,6,5,1
08/11/2020,Valladolid,2,6,0,1,2,1,2,21,5,46,7,6,1
22/11/2020,Valladolid,2,5,1,0,2,1,2,23,6,45,8,8,1
27/11/2020,Valladolid,5,4,2,0,1,2,2,27,8,50,9,10,0
05/12/2020,Valladolid,6,3,2,1,0,2,0,26,11,55,8,7,0
11/12/2020,Valladolid,4,4,1,1,1,1,0,32,10,42,10,5,0
19/12/2020,Valladolid,4,5,1,1,1,1,2,34,13,42,10,6,0
22/12/2020,Valladolid,4,5,1,1,1,1,3,36,14,34,14,10,0
29/12/2020,Valladolid,4,6,1,1,1,1,5,35,16,36,14,9,0
02/01/2021,Valladolid,1,4,0,2,1,0,3,31,11,35,17,7,0
10/01/2021,Valladolid,1,3,1,1,1,1,2,27,8,38,19,5,0
19/01/2021,Valladolid,1,1,1,1,1,1,0,26,7,40,15,6,0
22/01/2021,Valladolid,3,3,1,1,1,1,2,32,8,41,13,5,1
29/01/2021,Valladolid,4,5,0,2,1,0,2,31,9,40,6,4,1
05/02/2021,Valladolid,5,7,0,2,1,0,3,34,9,38,12,4,1
13/02/2021,Valladolid,3,6,0,1,2,0,1,24,8,41,9,7,0
20/02/2021,Valladolid,2,5,0,1,2,1,2,22,6,41,10,9,0
28/02/2021,Valladolid,1,3,0,1,2,1,1,17,7,42,8,11,0
