Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Villarreal,1,1,0,1,0,0,1,15,4,10,6,1,0
19/09/2020,Villarreal,2,1,1,0,0,0,0,14,8,5,4,1,0
27/09/2020,Villarreal,0,4,0,0,1,0,4,5,1,10,4,1,0
30/09/2020,Villarreal,3,6,1,1,1,0,5,34,13,25,14,3,0
03/10/2020,Villarreal,5,6,2,0,1,2,5,29,15,26,10,2,0
18/10/2020,Villarreal,3,5,1,1,1,2,5,21,9,28,7,3,0
25/10/2020,Villarreal,5,2,2,1,0,3,2,32,14,31,6,6,1
02/11/2020,Villarreal,2,1,1,2,0,1,1,29,10,27,9,8,1
08/11/2020,Villarreal,4,1,2,1,0,3,1,34,13,33,14,7,1
21/11/2020,Villarreal,5,1,2,1,0,4,1,27,12,31,14,7,0
29/11/2020,Villarreal,6,2,2,1,0,4,2,33,11,40,13,6,0
06/12/2020,Villarreal,5,3,1,2,0,3,3,32,8,39,11,8,0
13/12/2020,Villarreal,2,2,0,3,0,1,2,35,6,44,12,7,0
19/12/2020,Villarreal,2,2,0,3,0,2,1,29,7,42,16,9,0
22/12/2020,Villarreal,4,2,1,2,0,3,0,32,11,46,14,8,0
29/12/2020,Villarreal,5,3,1,2,0,3,1,37,14,40,16,6,0
02/01/2021,Villarreal,4,4,1,1,1,2,2,36,14,40,15,7,0
08/01/2021,Villarreal,3,4,1,1,1,1,2,35,15,36,16,6,0
20/01/2021,Villarreal,6,3,2,0,1,5,1,33,15,44,14,5,0
23/01/2021,Villarreal,8,3,2,1,0,6,1,36,16,41,10,3,0
30/01/2021,Villarreal,6,2,1,2,0,5,1,32,11,44,9,3,0
06/02/2021,Villarreal,3,3,0,3,0,2,1,21,7,36,6,4,0
14/02/2021,Villarreal,3,3,0,3,0,3,0,21,8,30,5,4,0
21/02/2021,Villarreal,4,5,0,2,1,3,1,22,11,34,10,6,0
28/02/2021,Villarreal,4,5,0,2,1,3,2,21,11,36,9,7,0
