Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Antalyaspor,2,0,1,0,0,1,0,9,5,12,2,1,0
19/09/2020,Antalyaspor,1,1,0,1,0,0,1,8,4,26,3,4,0
28/09/2020,Antalyaspor,1,0,1,0,0,0,0,10,5,21,7,0,0
03/10/2020,Antalyaspor,4,1,2,1,0,1,1,27,14,59,12,5,0
18/10/2020,Antalyaspor,2,2,1,1,1,0,2,25,10,57,13,6,0
24/10/2020,Antalyaspor,2,2,1,1,1,1,1,30,9,51,12,7,2
02/11/2020,Antalyaspor,2,7,0,1,2,2,5,26,6,37,6,7,3
07/11/2020,Antalyaspor,3,8,0,1,2,2,4,24,7,38,3,7,4
22/11/2020,Antalyaspor,4,9,0,1,2,1,5,22,8,32,8,2,2
29/11/2020,Antalyaspor,3,6,0,1,2,0,1,20,9,42,12,7,2
06/12/2020,Antalyaspor,4,6,0,2,1,0,2,26,13,48,20,8,2
14/12/2020,Antalyaspor,3,4,1,1,1,1,1,28,14,53,17,11,2
21/12/2020,Antalyaspor,3,2,1,2,0,1,1,36,16,47,20,6,1
24/12/2020,Antalyaspor,3,0,2,1,0,3,0,34,14,40,16,7,0
29/12/2020,Antalyaspor,3,2,1,1,1,2,1,33,16,29,16,6,0
02/01/2021,Antalyaspor,3,8,1,0,2,2,6,29,15,34,10,12,0
06/01/2021,Antalyaspor,1,8,0,1,2,0,6,25,12,35,14,12,0
09/01/2021,Antalyaspor,3,7,1,1,1,2,6,24,10,44,13,11,0
16/01/2021,Antalyaspor,4,1,2,1,0,2,1,23,8,43,16,6,0
24/01/2021,Antalyaspor,5,2,2,1,0,3,1,24,9,43,10,7,1
31/01/2021,Antalyaspor,2,1,1,2,0,1,0,19,7,38,9,7,1
03/02/2021,Antalyaspor,2,1,1,2,0,1,0,22,8,37,8,7,1
07/02/2021,Antalyaspor,2,1,1,2,0,1,0,18,7,35,9,6,1
15/02/2021,Antalyaspor,3,2,1,2,0,1,1,25,6,32,10,7,1
21/02/2021,Antalyaspor,3,3,0,3,0,2,2,26,7,27,7,6,1
27/02/2021,Antalyaspor,2,2,0,3,0,1,2,37,8,28,8,3,0
