Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Besiktas,3,1,1,0,0,1,0,12,5,17,3,2,0
19/09/2020,Besiktas,1,1,0,1,0,1,0,12,3,18,5,5,0
27/09/2020,Besiktas,1,4,0,0,1,0,1,10,2,17,4,4,0
04/10/2020,Besiktas,5,6,1,1,1,2,1,34,10,52,12,11,0
26/10/2020,Besiktas,2,6,0,1,2,1,2,35,9,44,15,11,0
01/11/2020,Besiktas,4,7,1,0,2,2,2,41,11,40,15,9,1
06/11/2020,Besiktas,4,3,2,0,1,2,1,47,15,37,15,8,1
21/11/2020,Besiktas,5,5,2,0,1,2,1,43,14,36,11,7,2
29/11/2020,Besiktas,5,5,2,0,1,2,1,45,17,34,10,7,1
04/12/2020,Besiktas,8,8,2,0,1,4,2,36,15,29,7,8,2
13/12/2020,Besiktas,10,5,3,0,0,5,1,44,17,35,11,8,1
20/12/2020,Besiktas,8,5,2,0,1,3,2,34,12,40,11,8,1
24/12/2020,Besiktas,8,2,2,0,1,1,1,41,15,45,20,7,0
28/12/2020,Besiktas,6,2,2,0,1,0,1,31,13,49,15,6,0
03/01/2021,Besiktas,8,0,3,0,0,1,0,34,15,52,12,4,0
06/01/2021,Besiktas,6,0,3,0,0,1,0,34,12,46,7,2,0
10/01/2021,Besiktas,11,0,3,0,0,3,0,44,19,43,8,4,0
17/01/2021,Besiktas,10,2,2,1,0,4,2,49,21,35,16,4,0
21/01/2021,Besiktas,10,2,2,1,0,4,2,49,20,39,21,5,0
24/01/2021,Besiktas,8,3,2,1,0,3,2,50,17,37,26,3,0
31/01/2021,Besiktas,8,2,3,0,0,1,1,42,15,40,18,4,0
03/02/2021,Besiktas,7,4,2,0,1,2,2,50,20,40,15,4,1
07/02/2021,Besiktas,4,4,1,1,1,1,3,49,21,37,15,5,1
15/02/2021,Besiktas,3,3,1,1,1,1,2,51,19,34,19,7,2
26/02/2021,Besiktas,5,1,2,1,0,1,1,49,20,29,21,7,1
02/03/2021,Besiktas,7,0,3,0,0,4,0,46,19,26,23,6,1
