Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Denizlispor,1,5,0,0,1,0,3,8,1,13,6,3,0
19/09/2020,Denizlispor,0,0,0,1,0,0,0,9,2,17,7,3,1
28/09/2020,Denizlispor,0,1,0,0,1,0,0,5,2,11,3,2,0
04/10/2020,Denizlispor,1,6,0,1,2,0,3,22,5,41,16,8,1
19/10/2020,Denizlispor,0,1,0,2,1,0,0,20,6,41,16,6,1
26/10/2020,Denizlispor,2,2,1,1,1,2,0,34,14,37,13,3,0
08/11/2020,Denizlispor,4,4,1,1,1,2,2,38,17,40,12,3,0
21/11/2020,Denizlispor,4,6,1,0,2,2,4,54,18,40,15,4,0
28/11/2020,Denizlispor,2,6,0,0,3,0,5,44,12,36,17,6,0
06/12/2020,Denizlispor,3,6,0,1,2,0,5,47,14,34,19,5,0
11/12/2020,Denizlispor,3,6,0,1,2,0,5,43,18,38,21,6,0
20/12/2020,Denizlispor,5,8,0,1,2,1,6,43,18,41,22,6,0
23/12/2020,Denizlispor,3,5,1,0,2,2,4,36,13,54,21,13,1
27/12/2020,Denizlispor,5,4,2,0,1,3,2,29,11,51,14,12,1
02/01/2021,Denizlispor,4,3,2,0,1,2,2,28,10,56,14,12,1
06/01/2021,Denizlispor,5,5,1,1,1,2,4,37,13,43,17,7,0
10/01/2021,Denizlispor,3,5,0,1,2,1,5,40,15,42,20,7,0
17/01/2021,Denizlispor,3,4,0,2,1,2,3,39,17,49,18,10,0
20/01/2021,Denizlispor,1,4,0,1,2,1,1,37,14,56,18,9,0
24/01/2021,Denizlispor,2,9,0,1,2,1,3,37,13,58,22,8,0
31/01/2021,Denizlispor,2,10,0,0,3,0,4,43,13,50,21,6,0
04/02/2021,Denizlispor,4,9,1,0,2,1,4,40,15,49,17,6,0
07/02/2021,Denizlispor,3,4,1,0,2,1,1,30,12,52,11,8,0
14/02/2021,Denizlispor,3,3,1,1,1,2,0,22,10,56,9,7,0
20/02/2021,Denizlispor,1,4,0,1,2,1,0,21,9,53,11,7,0
26/02/2021,Denizlispor,2,3,1,1,1,2,0,27,10,52,11,6,0
