Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Erzurum BB,2,1,1,0,0,0,0,12,4,12,3,0,0
20/09/2020,Erzurum BB,1,2,0,0,1,0,0,7,3,14,2,0,0
26/09/2020,Erzurum BB,3,1,1,0,0,2,0,13,8,21,5,3,0
03/10/2020,Erzurum BB,6,4,2,0,1,2,0,32,15,47,10,3,0
24/10/2020,Erzurum BB,4,3,1,1,1,2,0,31,16,49,16,4,0
30/10/2020,Erzurum BB,4,3,1,1,1,3,1,28,15,49,17,4,0
07/11/2020,Erzurum BB,2,7,0,1,2,1,4,29,13,41,17,2,0
22/11/2020,Erzurum BB,3,8,0,1,2,1,5,31,11,37,17,3,1
29/11/2020,Erzurum BB,2,7,0,1,2,0,5,48,16,36,24,6,1
05/12/2020,Erzurum BB,3,4,0,2,1,1,2,45,14,36,21,8,1
09/12/2020,Erzurum BB,2,5,0,1,2,1,2,42,14,43,21,7,1
13/12/2020,Erzurum BB,2,7,0,1,2,1,2,34,11,46,17,7,1
20/12/2020,Erzurum BB,0,6,0,0,3,0,2,37,11,49,21,6,1
23/12/2020,Erzurum BB,0,8,0,0,3,0,1,35,12,50,18,7,0
27/12/2020,Erzurum BB,1,7,0,0,3,0,1,35,14,42,24,7,0
02/01/2021,Erzurum BB,4,7,1,0,2,1,1,31,16,50,21,11,0
06/01/2021,Erzurum BB,5,4,1,1,1,1,1,28,13,46,17,13,0
11/01/2021,Erzurum BB,4,3,1,1,1,1,1,22,9,52,7,11,0
18/01/2021,Erzurum BB,1,5,0,1,2,0,2,25,5,38,10,6,0
21/01/2021,Erzurum BB,2,5,1,0,2,1,2,33,10,45,10,6,0
31/01/2021,Erzurum BB,3,5,1,1,1,2,1,29,10,47,9,9,0
03/02/2021,Erzurum BB,4,2,2,1,0,2,0,27,13,63,6,15,1
07/02/2021,Erzurum BB,2,1,1,2,0,1,0,23,10,61,9,12,1
12/02/2021,Erzurum BB,2,1,1,2,0,1,0,27,10,57,9,11,2
21/02/2021,Erzurum BB,3,1,1,2,0,1,0,33,13,46,7,7,1
27/02/2021,Erzurum BB,4,4,1,1,1,1,2,39,15,42,5,9,2
03/03/2021,Erzurum BB,3,5,1,0,2,0,4,40,16,44,7,9,1
