Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Gaziantep,1,3,0,0,1,0,3,9,2,12,6,3,0
20/09/2020,Gaziantep,2,2,0,1,0,0,1,14,9,15,7,2,0
26/09/2020,Gaziantep,2,2,0,1,0,1,0,9,4,10,4,1,0
02/10/2020,Gaziantep,5,7,0,2,1,1,4,32,15,37,17,6,0
18/10/2020,Gaziantep,5,5,0,3,0,1,1,33,15,41,16,7,0
24/10/2020,Gaziantep,4,4,0,3,0,1,1,34,11,41,16,10,2
31/10/2020,Gaziantep,3,2,1,2,0,0,1,35,11,48,18,12,2
06/11/2020,Gaziantep,3,2,1,2,0,1,1,35,16,48,22,11,2
21/11/2020,Gaziantep,5,2,2,1,0,2,0,28,17,55,20,8,0
28/11/2020,Gaziantep,5,2,2,1,0,3,0,29,18,54,17,8,0
13/12/2020,Gaziantep,6,3,2,1,0,3,0,25,16,55,11,11,1
19/12/2020,Gaziantep,5,3,2,1,0,3,0,26,13,41,10,10,1
23/12/2020,Gaziantep,7,4,2,1,0,4,1,25,12,37,14,10,1
27/12/2020,Gaziantep,9,2,3,0,0,5,1,28,11,39,17,6,0
02/01/2021,Gaziantep,10,2,3,0,0,6,2,25,12,51,15,10,0
05/01/2021,Gaziantep,8,2,2,1,0,4,1,27,12,54,13,11,0
09/01/2021,Gaziantep,6,2,2,1,0,2,1,33,17,50,16,11,0
16/01/2021,Gaziantep,4,3,1,1,1,1,1,37,15,40,21,9,1
20/01/2021,Gaziantep,5,3,2,0,1,2,1,38,17,34,21,6,1
24/01/2021,Gaziantep,3,6,1,0,2,2,2,33,8,30,15,6,1
29/01/2021,Gaziantep,3,5,1,1,1,2,1,30,8,38,10,5,0
03/02/2021,Gaziantep,2,6,0,1,2,1,1,32,8,44,13,5,0
08/02/2021,Gaziantep,2,5,0,1,2,1,0,34,14,46,17,5,0
13/02/2021,Gaziantep,3,4,1,0,2,0,0,35,14,43,17,4,0
21/02/2021,Gaziantep,2,3,1,0,2,0,0,29,10,41,13,7,0
26/02/2021,Gaziantep,2,1,1,1,1,0,0,26,6,40,13,7,0
02/03/2021,Gaziantep,0,1,0,2,1,0,0,31,6,42,18,8,0
