Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
14/09/2020,Hatayspor,2,0,1,0,0,1,0,12,6,13,1,1,0
21/09/2020,Hatayspor,0,0,0,1,0,0,0,0,0,14,1,6,2
26/09/2020,Hatayspor,1,0,1,0,0,0,0,11,3,14,6,2,0
04/10/2020,Hatayspor,3,0,2,1,0,1,0,23,9,41,8,9,2
02/11/2020,Hatayspor,1,6,1,1,1,0,4,15,3,40,10,11,2
08/11/2020,Hatayspor,2,7,1,1,1,1,5,25,7,40,11,9,1
22/11/2020,Hatayspor,2,7,1,1,1,1,5,29,10,38,11,9,1
05/12/2020,Hatayspor,4,3,1,2,0,2,2,39,16,40,14,7,1
09/12/2020,Hatayspor,3,5,1,1,1,1,2,40,13,43,17,5,1
12/12/2020,Hatayspor,5,5,1,1,1,2,2,36,15,48,13,6,1
15/12/2020,Hatayspor,6,4,2,0,1,2,1,29,14,51,8,6,1
19/12/2020,Hatayspor,6,3,2,0,1,2,0,27,17,44,7,7,1
22/12/2020,Hatayspor,4,3,2,0,1,1,0,29,12,41,8,6,1
29/12/2020,Hatayspor,1,3,1,0,2,0,0,39,12,37,13,6,1
02/01/2021,Hatayspor,7,1,2,0,1,5,0,43,17,48,14,6,0
06/01/2021,Hatayspor,8,2,2,0,1,6,1,42,18,46,15,6,0
10/01/2021,Hatayspor,9,4,2,0,1,7,2,32,16,44,11,7,1
17/01/2021,Hatayspor,5,6,1,1,1,4,4,28,10,40,9,8,1
20/01/2021,Hatayspor,5,5,1,1,1,3,3,28,11,36,7,9,2
24/01/2021,Hatayspor,5,4,1,1,1,2,2,33,13,40,8,10,1
30/01/2021,Hatayspor,4,3,1,1,1,0,1,36,13,33,10,8,1
02/02/2021,Hatayspor,7,4,1,1,1,3,1,40,18,34,12,6,0
06/02/2021,Hatayspor,7,4,1,1,1,3,2,46,20,36,16,7,0
14/02/2021,Hatayspor,10,4,2,0,1,4,1,50,25,38,14,5,0
21/02/2021,Hatayspor,5,3,1,1,1,1,1,41,16,42,13,6,1
27/02/2021,Hatayspor,7,2,2,1,0,3,0,33,16,41,13,4,1
03/03/2021,Hatayspor,7,2,2,1,0,3,1,36,14,45,24,5,1
