Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Karagumruk,3,0,1,0,0,1,0,7,6,19,8,4,0
20/09/2020,Karagumruk,2,2,0,1,0,1,0,11,4,14,7,2,0
25/09/2020,Karagumruk,2,0,1,0,0,0,0,5,3,8,2,2,0
03/10/2020,Karagumruk,7,2,2,1,0,2,0,23,13,41,17,8,0
18/10/2020,Karagumruk,5,4,1,1,1,1,1,29,10,32,16,6,0
25/10/2020,Karagumruk,4,3,1,1,1,1,1,31,8,29,13,8,1
30/10/2020,Karagumruk,2,5,0,1,2,1,2,33,9,35,15,7,1
08/11/2020,Karagumruk,6,4,1,1,1,4,1,38,15,31,15,6,1
21/11/2020,Karagumruk,7,5,1,1,1,5,2,40,16,36,14,5,0
30/11/2020,Karagumruk,8,4,1,2,0,5,2,52,17,37,15,8,0
06/12/2020,Karagumruk,3,3,0,3,0,2,2,44,12,43,12,8,0
12/12/2020,Karagumruk,3,2,1,2,0,2,2,37,13,44,15,9,0
18/12/2020,Karagumruk,3,4,1,1,1,2,2,31,11,38,14,12,2
26/12/2020,Karagumruk,5,5,2,0,1,2,2,28,11,37,15,18,3
03/01/2021,Karagumruk,4,5,1,1,1,0,2,41,12,28,17,15,3
06/01/2021,Karagumruk,4,4,1,1,1,0,1,40,12,30,18,10,1
10/01/2021,Karagumruk,3,6,0,1,2,1,3,43,11,31,15,6,1
15/01/2021,Karagumruk,4,6,1,0,2,1,2,31,10,33,11,8,1
21/01/2021,Karagumruk,6,5,2,0,1,3,2,33,14,30,9,9,1
24/01/2021,Karagumruk,6,6,2,0,1,2,1,33,14,26,11,8,0
29/01/2021,Karagumruk,6,6,2,0,1,3,1,35,13,28,8,8,0
03/02/2021,Karagumruk,3,5,1,1,1,1,1,37,13,29,12,6,0
06/02/2021,Karagumruk,4,1,2,1,0,1,0,41,15,34,14,6,0
13/02/2021,Karagumruk,3,0,2,1,0,0,0,43,17,33,16,4,0
20/02/2021,Karagumruk,4,2,2,0,1,0,1,39,13,36,17,5,0
27/02/2021,Karagumruk,4,5,1,0,2,1,2,33,11,33,14,5,0
03/03/2021,Karagumruk,5,5,1,0,2,1,2,30,8,34,15,6,0
