Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
11/09/2020,Rizespor,1,2,0,0,1,0,0,9,3,11,3,1,0
20/09/2020,Rizespor,0,2,0,0,1,0,1,11,6,9,8,1,0
27/09/2020,Rizespor,1,1,0,1,0,0,0,11,4,15,4,2,0
03/10/2020,Rizespor,2,5,0,1,2,0,1,31,13,35,15,4,0
17/10/2020,Rizespor,1,3,0,2,1,0,1,29,12,34,15,6,0
26/10/2020,Rizespor,6,4,1,2,0,2,3,33,16,34,9,5,0
01/11/2020,Rizespor,7,3,2,1,0,3,3,26,15,30,5,5,0
22/11/2020,Rizespor,8,3,3,0,0,4,3,31,19,34,4,5,0
28/11/2020,Rizespor,5,2,2,1,0,3,1,23,10,40,6,7,0
06/12/2020,Rizespor,3,6,1,1,1,2,2,23,7,38,7,11,1
12/12/2020,Rizespor,3,8,0,1,2,2,4,20,4,43,10,9,1
19/12/2020,Rizespor,4,8,1,0,2,2,3,26,10,46,9,10,1
24/12/2020,Rizespor,5,6,1,0,2,3,2,26,11,56,11,8,0
28/12/2020,Rizespor,6,5,2,0,1,3,0,28,12,51,8,10,0
03/01/2021,Rizespor,4,4,1,1,1,2,1,31,10,47,8,8,1
06/01/2021,Rizespor,4,3,1,2,0,2,1,48,16,41,11,8,1
10/01/2021,Rizespor,2,8,0,2,1,1,3,46,15,38,13,5,1
17/01/2021,Rizespor,2,8,0,2,1,1,3,51,17,44,21,6,0
20/01/2021,Rizespor,2,11,0,1,2,1,3,37,13,45,19,4,0
23/01/2021,Rizespor,5,5,1,1,1,2,1,37,16,44,18,5,0
30/01/2021,Rizespor,5,5,1,1,1,2,0,20,10,34,8,5,0
02/02/2021,Rizespor,4,2,1,1,1,1,1,19,8,36,6,8,1
06/02/2021,Rizespor,2,3,0,2,1,0,1,26,6,34,4,9,1
12/02/2021,Rizespor,2,4,0,1,2,1,2,30,8,34,7,13,1
22/02/2021,Rizespor,2,5,0,1,2,1,1,34,11,34,8,12,1
27/02/2021,Rizespor,2,5,0,1,2,2,2,25,10,38,8,11,1
03/03/2021,Rizespor,1,3,0,2,1,1,1,28,10,43,7,8,1
