season,date,league_id,league,HomeTeam,AwayTeam,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,Above 2.5 Score ,HW,HD,HL,FTHG,FTHGC,HTHGC,HTHG,HS,HST,HF,HC,HY,HR,AW,AD,AL,FTAG,HTAG,FTAGC,HTAGC,AS,AST,AF,AC,AY,AR
2020,19/03/21,1882,Turkish Turkcell Super Lig,Karagumruk,Kayserispor,39.22,31.92,0.48200000000000004,0.2364,0.2816,1.41,0.9,0.2,39.4,,,0,0.0,1.0,2.0,2,4,2,1,41,12,41,18,3,0,2.0,0.0,1.0,5,2,5,1,30,11,41,12,2,0
2020,19/03/21,1882,Turkish Turkcell Super Lig,Galatasaray,Rizespor,64.22,33.07,0.8201,0.0448,0.1351,2.48,0.42,68.7,39.4,,,0,1.0,1.0,1.0,6,4,3,2,43,18,36,14,9,1,1.0,1.0,1.0,2,0,2,0,45,12,37,12,8,0
2020,20/03/21,1882,Turkish Turkcell Super Lig,Genclerbirligi,Kasimpasa,26.99,35.33,0.3448,0.3836,0.2716,1.28,1.36,35.1,51.7,,,0,1.0,0.0,2.0,3,4,1,2,31,11,44,5,9,1,0.0,2.0,1.0,3,1,4,2,36,11,39,18,5,0
2020,20/03/21,1882,Turkish Turkcell Super Lig,Goztep,Sivasspor,40.43,45.64,0.3898,0.3223,0.2879,1.26,1.12,1.2,1.0,,,0,1.0,1.0,1.0,4,5,1,2,31,9,40,17,5,0,1.0,2.0,0.0,4,3,3,1,34,12,42,11,6,1
2020,20/03/21,1882,Turkish Turkcell Super Lig,Yeni Malatyaspor,Gaziantep,35.09,45.96,0.37200000000000005,0.3498,0.2782,1.29,1.24,40.6,0.2,,,0,0.0,1.0,2.0,3,5,2,2,32,11,41,12,4,1,2.0,0.0,1.0,5,0,3,2,37,13,36,20,3,1
2020,20/03/21,1882,Turkish Turkcell Super Lig,Trabzonspor,Ankaragucu,54.11,35.18,0.6116,0.1521,0.2363,1.78,0.76,7.7,49.1,,,0,1.0,1.0,1.0,3,4,1,1,40,10,39,10,5,0,3.0,0.0,0.0,6,2,1,0,29,15,41,8,8,0
2020,21/03/21,1882,Turkish Turkcell Super Lig,Konyaspor,Alanyaspor,38.84,53.68,0.3184,0.4083,0.2733,1.2,1.39,15.0,3.0,,,0,0.0,2.0,1.0,2,5,2,0,32,9,38,6,4,0,2.0,1.0,0.0,8,2,2,1,40,20,30,19,4,0
2020,21/03/21,1882,Turkish Turkcell Super Lig,Antalyaspor,Erzurum BB,35.24,28.61,0.4699,0.2214,0.3087,1.23,0.75,14.4,56.2,,,0,0.0,2.0,1.0,2,6,2,2,22,7,48,6,11,1,0.0,2.0,1.0,3,1,5,2,36,11,44,17,9,1
2020,21/03/21,1882,Turkish Turkcell Super Lig,Denizlispor,Buyuksehyr,27.02,40.07,0.3034,0.4304,0.2662,1.2,1.48,35.7,48.2,,,0,1.0,0.0,2.0,3,7,4,2,25,11,38,13,6,1,1.0,1.0,1.0,4,0,4,1,31,12,33,15,5,0
2020,21/03/21,1882,Turkish Turkcell Super Lig,Besiktas,Fenerbahce,64.84,56.71,0.5487,0.2208,0.2305,1.92,1.14,100.0,89.0,,,0,3.0,0.0,0.0,6,3,0,2,37,11,39,15,2,0,1.0,1.0,1.0,5,3,3,2,46,19,38,19,8,0
