Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Alanyaspor,2,0,1.0,0.0,0.0,1,0,12,6,11,6,2,0
19/09/2020,Alanyaspor,2,0,1.0,0.0,0.0,1,0,18,8,10,5,1,0
27/09/2020,Alanyaspor,1,1,0.0,1.0,0.0,0,0,12,3,19,6,1,0
04/10/2020,Alanyaspor,5,1,2.0,1.0,0.0,2,0,42,17,40,17,4,0
19/10/2020,Alanyaspor,9,1,2.0,1.0,0.0,5,0,54,26,43,17,4,0
25/10/2020,Alanyaspor,9,2,2.0,1.0,0.0,5,1,58,30,48,22,6,0
07/11/2020,Alanyaspor,10,1,3.0,0.0,0.0,6,1,65,35,41,20,6,0
22/11/2020,Alanyaspor,5,2,2.0,1.0,0.0,2,1,50,24,44,22,6,0
29/11/2020,Alanyaspor,5,1,2.0,1.0,0.0,1,0,38,17,40,15,4,0
05/12/2020,Alanyaspor,4,1,2.0,1.0,0.0,1,0,37,17,40,14,6,0
09/12/2020,Alanyaspor,4,2,2.0,0.0,1.0,1,1,44,19,32,15,6,0
13/12/2020,Alanyaspor,2,3,1.0,0.0,2.0,1,1,51,18,38,18,8,0
20/12/2020,Alanyaspor,3,4,1.0,0.0,2.0,1,1,53,16,39,21,10,1
23/12/2020,Alanyaspor,2,3,1.0,0.0,2.0,1,1,54,17,45,20,10,1
27/12/2020,Alanyaspor,3,3,1.0,1.0,1.0,2,1,51,18,41,20,9,1
02/01/2021,Alanyaspor,2,5,0.0,1.0,2.0,2,3,46,17,38,19,8,0
07/01/2021,Alanyaspor,5,4,1.0,1.0,1.0,4,2,40,15,35,13,10,0
11/01/2021,Alanyaspor,5,5,1.0,0.0,2.0,3,3,43,18,35,16,12,0
21/01/2021,Alanyaspor,5,4,1.0,0.0,2.0,3,3,56,21,41,19,9,0
25/01/2021,Alanyaspor,3,5,0.0,1.0,2.0,1,4,51,18,40,26,7,1
31/01/2021,Alanyaspor,6,6,1.0,1.0,1.0,2,5,58,17,39,30,4,1
03/02/2021,Alanyaspor,8,5,2.0,1.0,0.0,3,3,39,13,38,23,5,1
06/02/2021,Alanyaspor,8,5,2.0,1.0,0.0,3,2,45,15,38,15,4,0
14/02/2021,Alanyaspor,6,3,2.0,1.0,0.0,3,1,54,18,36,15,5,0
20/02/2021,Alanyaspor,3,2,1.0,2.0,0.0,1,1,58,21,39,21,6,0
27/02/2021,Alanyaspor,2,2,1.0,1.0,1.0,1,2,70,23,44,32,8,0
04/03/2021,Alanyaspor,0,3,0.0,1.0,2.0,0,1,45,14,49,26,9,0
08/03/2021,Alanyaspor,1,4,0.0,1.0,2.0,0,2,47,14,40,29,7,0
13/03/2021,Alanyaspor,4,4,1.0,1.0,1.0,0,1,34,14,32,21,7,0
21/03/2021,Alanyaspor,8,2,2.0,1.0,0.0,2,1,40,20,30,19,4,0
04/04/21,Alanyaspor,7,2,2.0,0.0,1.0,2,1,35,13,39,13,7,0
