Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Ankaragucu,1,2,0.0,0.0,1.0,0,0,8,5,16,6,3,0
27/09/2020,Ankaragucu,0,0,0.0,1.0,0.0,0,0,2,2,17,2,2,0
02/10/2020,Ankaragucu,0,1,0.0,0.0,1.0,0,1,14,5,7,7,1,0
17/10/2020,Ankaragucu,1,3,0.0,1.0,2.0,0,1,24,12,40,15,6,0
31/10/2020,Ankaragucu,3,6,0.0,1.0,2.0,3,3,25,11,41,12,7,1
08/11/2020,Ankaragucu,3,7,0.0,0.0,3.0,3,4,30,10,38,13,8,1
22/11/2020,Ankaragucu,5,8,0.0,1.0,2.0,4,5,30,10,47,16,12,1
27/11/2020,Ankaragucu,3,6,0.0,1.0,2.0,1,4,35,13,41,19,10,0
06/12/2020,Ankaragucu,3,6,0.0,1.0,2.0,1,4,42,15,38,21,9,0
12/12/2020,Ankaragucu,1,5,0.0,0.0,3.0,0,3,35,13,34,16,6,0
15/12/2020,Ankaragucu,4,5,1.0,0.0,2.0,1,4,32,11,32,14,9,1
20/12/2020,Ankaragucu,6,4,2.0,0.0,1.0,1,3,29,13,26,12,10,1
24/12/2020,Ankaragucu,7,4,2.0,1.0,0.0,1,2,38,15,32,12,9,1
27/12/2020,Ankaragucu,3,2,1.0,1.0,1.0,0,0,35,11,39,10,5,0
02/01/2021,Ankaragucu,3,3,1.0,1.0,1.0,2,0,32,9,47,11,5,0
05/01/2021,Ankaragucu,5,3,2.0,0.0,1.0,4,0,25,9,43,10,7,0
10/01/2021,Ankaragucu,5,4,2.0,0.0,1.0,4,0,24,11,39,12,7,0
18/01/2021,Ankaragucu,4,5,1.0,0.0,2.0,3,1,29,11,42,13,6,0
21/01/2021,Ankaragucu,2,7,0.0,0.0,3.0,1,3,33,9,46,13,4,0
25/01/2021,Ankaragucu,3,5,1.0,0.0,2.0,2,3,41,11,47,9,8,0
31/01/2021,Ankaragucu,5,7,1.0,0.0,2.0,3,3,37,13,48,8,9,0
07/02/2021,Ankaragucu,4,5,1.0,0.0,2.0,3,1,30,12,47,8,14,2
13/02/2021,Ankaragucu,4,9,0.0,0.0,3.0,2,2,29,13,51,11,14,2
22/02/2021,Ankaragucu,1,5,0.0,1.0,2.0,0,1,24,8,41,11,13,3
27/02/2021,Ankaragucu,2,5,0.0,2.0,1.0,1,2,32,13,37,12,9,1
03/03/2021,Ankaragucu,2,5,0.0,2.0,1.0,2,2,24,9,40,13,7,2
07/03/2021,Ankaragucu,4,6,1.0,1.0,1.0,3,2,28,12,48,10,11,1
14/03/2021,Ankaragucu,4,5,2.0,0.0,1.0,2,1,18,8,46,7,10,1
20/03/2021,Ankaragucu,6,1,3.0,0.0,0.0,2,0,29,15,41,8,8,0
04/04/21,Ankaragucu,5,4,2.0,0.0,1.0,2,3,33,19,36,8,4,0
