Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
14/09/2020,Buyuksehyr,0,2,0.0,0.0,1.0,0,1,15,2,14,6,2,0
20/09/2020,Buyuksehyr,0,2,0.0,0.0,1.0,0,1,12,5,16,5,3,0
25/09/2020,Buyuksehyr,0,2,0.0,0.0,1.0,0,0,13,4,11,2,3,1
03/10/2020,Buyuksehyr,0,6,0.0,0.0,3.0,0,2,40,11,41,13,8,1
17/10/2020,Buyuksehyr,0,4,0.0,1.0,2.0,0,1,49,14,38,17,7,1
24/10/2020,Buyuksehyr,2,2,1.0,1.0,1.0,1,0,54,15,35,16,5,1
01/11/2020,Buyuksehyr,7,1,2.0,1.0,0.0,5,1,71,20,30,26,2,0
08/11/2020,Buyuksehyr,9,2,3.0,0.0,0.0,6,1,59,20,27,23,2,0
21/11/2020,Buyuksehyr,9,3,3.0,0.0,0.0,5,2,64,19,21,36,1,0
28/11/2020,Buyuksehyr,6,5,2.0,0.0,1.0,1,3,53,17,32,32,6,1
05/12/2020,Buyuksehyr,7,7,1.0,1.0,1.0,2,3,59,19,35,31,7,1
13/12/2020,Buyuksehyr,6,7,0.0,2.0,1.0,3,2,48,19,39,16,9,1
23/12/2020,Buyuksehyr,5,6,0.0,2.0,1.0,3,1,48,18,36,12,6,0
27/12/2020,Buyuksehyr,3,7,0.0,1.0,2.0,2,2,49,14,35,16,8,2
02/01/2021,Buyuksehyr,4,8,0.0,1.0,2.0,2,3,57,18,36,20,7,2
06/01/2021,Buyuksehyr,3,9,0.0,1.0,2.0,2,4,50,14,34,24,8,2
10/01/2021,Buyuksehyr,3,5,1.0,1.0,1.0,2,3,45,17,39,18,5,0
16/01/2021,Buyuksehyr,3,4,2.0,0.0,1.0,2,3,38,11,39,15,7,0
19/01/2021,Buyuksehyr,4,2,2.0,1.0,0.0,3,2,36,13,42,10,6,0
23/01/2021,Buyuksehyr,3,4,1.0,1.0,1.0,2,3,40,8,35,10,5,0
30/01/2021,Buyuksehyr,2,4,0.0,2.0,1.0,1,2,45,9,36,16,4,0
02/02/2021,Buyuksehyr,2,8,0.0,1.0,2.0,0,4,52,5,31,17,5,0
06/02/2021,Buyuksehyr,2,9,0.0,1.0,2.0,0,4,44,7,33,18,7,0
14/02/2021,Buyuksehyr,1,9,0.0,0.0,3.0,0,4,43,10,32,14,6,0
19/02/2021,Buyuksehyr,1,6,0.0,0.0,3.0,0,2,38,14,38,15,5,0
27/02/2021,Buyuksehyr,1,4,0.0,0.0,3.0,0,1,35,12,39,13,6,1
03/03/2021,Buyuksehyr,1,3,0.0,1.0,2.0,0,1,21,5,35,10,5,1
07/03/2021,Buyuksehyr,1,2,0.0,2.0,1.0,0,0,22,6,29,9,3,1
12/03/2021,Buyuksehyr,2,1,1.0,2.0,0.0,0,0,24,9,28,13,2,0
21/03/2021,Buyuksehyr,4,4,1.0,1.0,1.0,0,1,31,12,33,15,5,0
04/04/21,Buyuksehyr,3,3,1.0,1.0,1.0,0,1,34,10,33,16,7,0
