Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
11/09/2020,Fenerbahce,2,1,1.0,0.0,0.0,0,0,17,8,12,11,2,0
21/09/2020,Fenerbahce,0,0,0.0,1.0,0.0,0,0,12,4,15,3,1,0
27/09/2020,Fenerbahce,0,0,0.0,1.0,0.0,0,0,15,1,14,9,4,0
03/10/2020,Fenerbahce,2,1,1.0,2.0,0.0,0,0,44,13,41,23,7,0
18/10/2020,Fenerbahce,2,1,1.0,2.0,0.0,1,0,35,9,44,15,7,1
25/10/2020,Fenerbahce,5,3,2.0,1.0,0.0,3,1,42,13,50,19,10,1
02/11/2020,Fenerbahce,8,4,3.0,0.0,0.0,3,2,47,18,53,20,8,1
07/11/2020,Fenerbahce,8,4,3.0,0.0,0.0,2,2,67,24,52,29,9,1
21/11/2020,Fenerbahce,5,4,2.0,0.0,1.0,0,1,61,18,46,35,7,1
29/11/2020,Fenerbahce,7,4,2.0,0.0,1.0,2,1,51,17,38,28,6,1
06/12/2020,Fenerbahce,8,7,1.0,0.0,2.0,3,3,41,12,36,25,9,0
12/12/2020,Fenerbahce,10,5,2.0,0.0,1.0,5,3,38,12,32,16,11,1
19/12/2020,Fenerbahce,5,7,1.0,0.0,2.0,3,4,48,13,38,22,13,1
23/12/2020,Fenerbahce,3,6,1.0,0.0,2.0,3,4,44,12,41,17,10,1
04/01/2021,Fenerbahce,5,7,1.0,0.0,2.0,2,5,49,14,46,20,8,0
07/01/2021,Fenerbahce,8,4,2.0,0.0,1.0,4,3,40,13,44,12,6,0
11/01/2021,Fenerbahce,9,2,3.0,0.0,0.0,4,1,40,14,49,10,7,0
18/01/2021,Fenerbahce,8,1,3.0,0.0,0.0,4,0,36,18,45,8,6,0
21/01/2021,Fenerbahce,8,2,3.0,0.0,0.0,4,0,42,21,54,11,7,0
25/01/2021,Fenerbahce,7,2,2.0,1.0,0.0,4,1,36,20,45,12,4,0
30/01/2021,Fenerbahce,7,2,2.0,1.0,0.0,4,1,46,23,45,13,5,0
02/02/2021,Fenerbahce,5,1,2.0,1.0,0.0,3,1,44,19,39,16,4,0
06/02/2021,Fenerbahce,6,1,3.0,0.0,0.0,3,0,46,21,44,17,5,0
13/02/2021,Fenerbahce,3,2,2.0,0.0,1.0,2,0,37,15,48,19,5,0
21/02/2021,Fenerbahce,4,3,2.0,0.0,1.0,2,0,29,14,48,16,5,0
28/02/2021,Fenerbahce,2,3,1.0,0.0,2.0,1,1,41,13,49,25,4,0
04/03/2021,Fenerbahce,3,2,2.0,0.0,1.0,1,1,41,16,48,24,4,0
08/03/2021,Fenerbahce,2,2,1.0,1.0,1.0,0,2,50,19,48,31,8,0
14/03/2021,Fenerbahce,5,1,2.0,1.0,0.0,2,1,42,21,42,20,9,0
21/03/2021,Fenerbahce,5,3,1.0,1.0,1.0,3,2,46,19,38,19,8,0
05/04/21,Fenerbahce,5,3,1.0,1.0,1.0,3,1,44,16,42,15,8,0
