Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Galatasaray,3,1,1.0,0.0,0.0,3,0,23,12,13,8,2,0
20/09/2020,Galatasaray,2,0,1.0,0.0,0.0,1,0,12,6,15,2,1,0
27/09/2020,Galatasaray,0,0,0.0,1.0,0.0,0,0,9,5,16,5,7,0
04/10/2020,Galatasaray,5,1,2.0,1.0,0.0,4,0,44,23,44,15,10,0
19/10/2020,Galatasaray,2,1,1.0,1.0,1.0,1,1,33,14,46,14,9,0
24/10/2020,Galatasaray,1,3,0.0,1.0,2.0,1,2,28,13,49,15,13,1
31/10/2020,Galatasaray,3,4,1.0,0.0,2.0,2,3,32,12,44,13,10,2
08/11/2020,Galatasaray,4,3,2.0,0.0,1.0,3,2,33,12,39,13,10,2
23/11/2020,Galatasaray,5,2,3.0,0.0,0.0,3,1,34,10,35,12,8,1
28/11/2020,Galatasaray,4,2,2.0,1.0,0.0,2,0,48,18,36,19,5,0
05/12/2020,Galatasaray,7,2,2.0,1.0,0.0,2,0,56,26,35,19,5,0
18/12/2020,Galatasaray,8,1,2.0,1.0,0.0,2,0,60,27,31,24,5,0
22/12/2020,Galatasaray,8,2,2.0,0.0,1.0,2,0,48,16,41,22,8,1
26/12/2020,Galatasaray,7,3,2.0,0.0,1.0,3,1,42,13,41,23,8,1
02/01/2021,Galatasaray,6,3,2.0,0.0,1.0,3,1,39,14,41,18,8,1
05/01/2021,Galatasaray,5,1,2.0,1.0,0.0,3,1,39,19,28,16,6,1
09/01/2021,Galatasaray,5,4,1.0,1.0,1.0,2,1,42,16,29,12,7,1
17/01/2021,Galatasaray,9,4,1.0,1.0,1.0,5,1,49,20,27,15,4,1
20/01/2021,Galatasaray,9,6,1.0,0.0,2.0,5,1,43,16,34,16,4,1
24/01/2021,Galatasaray,12,3,2.0,0.0,1.0,7,0,39,21,33,20,3,1
29/01/2021,Galatasaray,7,3,2.0,0.0,1.0,3,0,33,16,38,21,5,1
02/02/2021,Galatasaray,9,2,3.0,0.0,0.0,3,0,30,20,31,18,4,0
06/02/2021,Galatasaray,6,1,3.0,0.0,0.0,1,0,27,15,28,16,4,0
14/02/2021,Galatasaray,6,1,3.0,0.0,0.0,1,0,26,13,40,16,4,0
20/02/2021,Galatasaray,6,1,3.0,0.0,0.0,2,0,35,17,44,20,3,0
27/02/2021,Galatasaray,4,1,3.0,0.0,0.0,2,0,32,13,56,15,2,0
03/03/2021,Galatasaray,5,1,3.0,0.0,0.0,4,0,33,15,42,14,3,0
07/03/2021,Galatasaray,4,2,2.0,0.0,1.0,3,1,26,9,43,11,7,1
13/03/2021,Galatasaray,5,4,1.0,1.0,1.0,3,3,35,15,36,16,11,1
19/03/2021,Galatasaray,6,4,1.0,1.0,1.0,2,3,43,18,36,14,9,1
03/04/21,Galatasaray,8,6,1.0,1.0,1.0,4,4,45,20,34,16,9,1
