Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Genclerbirligi,0,2,0.0,0.0,1.0,0,1,6,1,18,3,1,0
19/09/2020,Genclerbirligi,0,0,0.0,1.0,0.0,0,0,12,1,10,6,0,0
04/10/2020,Genclerbirligi,1,0,1.0,0.0,0.0,1,0,10,4,12,5,2,0
19/10/2020,Genclerbirligi,1,2,1.0,1.0,1.0,1,1,28,6,40,14,3,0
25/10/2020,Genclerbirligi,2,2,1.0,1.0,1.0,1,2,29,7,33,16,3,0
31/10/2020,Genclerbirligi,3,4,1.0,0.0,2.0,2,3,22,7,35,16,3,0
08/11/2020,Genclerbirligi,3,5,0.0,1.0,2.0,1,4,27,8,39,18,4,0
21/11/2020,Genclerbirligi,3,5,0.0,1.0,2.0,2,2,26,8,38,16,6,1
29/11/2020,Genclerbirligi,3,8,0.0,1.0,2.0,2,3,32,12,45,15,9,1
05/12/2020,Genclerbirligi,2,9,0.0,0.0,3.0,2,4,37,12,37,11,8,1
13/12/2020,Genclerbirligi,3,8,1.0,0.0,2.0,2,4,45,15,41,12,9,0
20/12/2020,Genclerbirligi,3,3,2.0,0.0,1.0,1,2,45,15,36,15,7,0
24/12/2020,Genclerbirligi,4,2,2.0,1.0,0.0,1,0,34,13,40,16,8,1
28/12/2020,Genclerbirligi,3,4,1.0,1.0,1.0,0,1,30,12,39,18,6,1
03/01/2021,Genclerbirligi,5,6,1.0,1.0,1.0,1,2,33,12,37,15,7,1
06/01/2021,Genclerbirligi,5,6,1.0,1.0,1.0,1,3,41,16,35,13,9,0
09/01/2021,Genclerbirligi,7,4,2.0,1.0,0.0,2,3,52,20,40,13,12,0
15/01/2021,Genclerbirligi,4,8,1.0,1.0,1.0,1,6,43,17,46,12,13,0
19/01/2021,Genclerbirligi,4,10,1.0,0.0,2.0,1,7,43,13,57,18,13,0
23/01/2021,Genclerbirligi,1,13,0.0,0.0,3.0,0,9,27,7,49,13,10,0
31/01/2021,Genclerbirligi,2,9,0.0,0.0,3.0,0,6,35,7,41,14,9,0
03/02/2021,Genclerbirligi,1,7,0.0,0.0,3.0,0,4,25,6,35,9,6,0
15/02/2021,Genclerbirligi,1,3,0.0,1.0,2.0,0,1,27,6,40,10,7,0
20/02/2021,Genclerbirligi,0,4,0.0,1.0,2.0,0,1,19,5,45,7,8,0
26/02/2021,Genclerbirligi,0,4,0.0,1.0,2.0,0,2,24,4,45,8,7,0
02/03/2021,Genclerbirligi,1,5,0.0,1.0,2.0,0,3,30,5,44,19,7,1
07/03/2021,Genclerbirligi,2,4,0.0,1.0,2.0,1,2,39,9,46,20,6,1
14/03/2021,Genclerbirligi,2,4,0.0,1.0,2.0,1,1,37,11,45,17,7,2
20/03/2021,Genclerbirligi,3,4,1.0,0.0,2.0,2,1,31,11,44,5,9,1
04/04/21,Genclerbirligi,4,3,2.0,0.0,1.0,1,1,25,8,35,5,10,1
