Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Goztep,5,1,1.0,0.0,0.0,3,0,10,6,15,4,0,0
18/09/2020,Goztep,1,1,0.0,1.0,0.0,1,1,3,1,19,6,0,0
26/09/2020,Goztep,2,2,0.0,1.0,0.0,0,1,13,4,19,2,3,0
03/10/2020,Goztep,8,4,1.0,2.0,0.0,4,2,26,11,53,12,3,0
18/10/2020,Goztep,3,3,0.0,3.0,0.0,1,2,18,5,50,11,5,0
23/10/2020,Goztep,4,5,0.0,2.0,1.0,1,3,23,9,41,9,8,0
07/11/2020,Goztep,2,3,0.0,2.0,1.0,1,2,13,5,34,12,6,0
22/11/2020,Goztep,3,4,0.0,2.0,1.0,2,2,22,8,33,15,4,0
30/11/2020,Goztep,4,2,1.0,2.0,0.0,2,0,24,7,40,18,3,0
05/12/2020,Goztep,5,2,2.0,1.0,0.0,2,0,27,8,41,16,5,0
09/12/2020,Goztep,5,2,2.0,1.0,0.0,1,0,22,7,43,16,7,0
12/12/2020,Goztep,3,1,2.0,1.0,0.0,0,0,21,8,41,13,7,0
19/12/2020,Goztep,4,4,1.0,1.0,1.0,0,1,27,12,44,14,9,0
22/12/2020,Goztep,3,4,1.0,0.0,2.0,0,1,29,12,49,10,10,0
26/12/2020,Goztep,3,7,0.0,0.0,3.0,1,3,32,12,43,13,9,0
06/01/2021,Goztep,2,5,0.0,1.0,2.0,2,2,30,9,43,15,5,0
09/01/2021,Goztep,2,5,0.0,1.0,2.0,2,3,29,11,40,18,5,0
16/01/2021,Goztep,1,3,0.0,1.0,2.0,1,1,24,8,47,19,7,0
19/01/2021,Goztep,3,4,1.0,0.0,2.0,2,1,20,11,39,18,7,0
24/01/2021,Goztep,7,3,2.0,0.0,1.0,5,0,25,13,33,15,5,0
31/01/2021,Goztep,8,4,2.0,0.0,1.0,6,0,23,14,34,9,5,0
04/02/2021,Goztep,6,4,1.0,0.0,2.0,4,1,21,11,39,9,5,0
08/02/2021,Goztep,4,6,0.0,1.0,2.0,2,2,34,12,48,17,4,0
14/02/2021,Goztep,3,6,0.0,1.0,2.0,1,2,35,13,45,17,1,0
21/02/2021,Goztep,4,5,1.0,1.0,1.0,2,1,44,17,44,15,1,0
28/02/2021,Goztep,3,3,2.0,0.0,1.0,2,0,25,12,44,6,3,0
04/03/2021,Goztep,4,1,3.0,0.0,0.0,3,0,24,9,45,7,6,1
08/03/2021,Goztep,3,1,2.0,1.0,0.0,3,0,18,3,45,7,7,1
14/03/2021,Goztep,5,2,2.0,1.0,0.0,3,0,28,8,45,13,7,1
20/03/2021,Goztep,4,5,1.0,1.0,1.0,2,1,31,9,40,17,5,0
03/04/21,Goztep,6,9,1.0,0.0,2.0,1,5,38,15,40,22,5,0
