Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Kasimpasa,0,1,0.0,0.0,1.0,0,1,12,3,16,6,2,0
20/09/2020,Kasimpasa,2,0,1.0,0.0,0.0,1,0,16,7,14,5,3,1
26/09/2020,Kasimpasa,0,1,0.0,0.0,1.0,0,0,6,3,16,3,3,0
04/10/2020,Kasimpasa,2,2,1.0,0.0,2.0,1,1,34,13,46,14,8,1
18/10/2020,Kasimpasa,3,1,2.0,0.0,1.0,2,0,34,18,42,14,7,1
23/10/2020,Kasimpasa,2,2,1.0,1.0,1.0,1,1,29,16,42,13,5,0
30/10/2020,Kasimpasa,2,1,1.0,2.0,0.0,1,1,37,17,43,17,3,0
07/11/2020,Kasimpasa,5,4,1.0,2.0,0.0,2,4,42,20,41,16,4,0
22/11/2020,Kasimpasa,6,5,1.0,2.0,0.0,3,3,47,19,46,15,6,0
29/11/2020,Kasimpasa,7,7,1.0,1.0,1.0,4,3,41,18,38,13,7,0
04/12/2020,Kasimpasa,5,4,1.0,1.0,1.0,4,0,37,16,43,13,7,0
11/12/2020,Kasimpasa,3,5,1.0,0.0,2.0,3,1,27,14,35,13,4,1
19/12/2020,Kasimpasa,5,5,2.0,0.0,1.0,4,2,35,16,42,11,4,1
23/12/2020,Kasimpasa,3,7,1.0,0.0,2.0,2,3,32,11,40,9,4,1
27/12/2020,Kasimpasa,3,8,1.0,0.0,2.0,2,4,38,14,46,11,6,0
04/01/2021,Kasimpasa,2,8,0.0,1.0,2.0,1,4,33,16,42,12,8,1
11/01/2021,Kasimpasa,2,9,0.0,1.0,2.0,1,5,33,14,43,16,8,1
18/01/2021,Kasimpasa,4,6,1.0,1.0,1.0,3,4,27,11,35,12,7,2
21/01/2021,Kasimpasa,3,6,1.0,0.0,2.0,2,4,28,8,41,11,8,2
25/01/2021,Kasimpasa,3,4,1.0,0.0,2.0,2,3,29,10,47,11,11,2
30/01/2021,Kasimpasa,3,3,1.0,0.0,2.0,2,2,34,11,55,14,12,1
02/02/2021,Kasimpasa,2,2,1.0,0.0,2.0,2,1,37,11,54,14,9,0
06/02/2021,Kasimpasa,3,2,1.0,1.0,1.0,2,0,39,12,50,11,6,0
14/02/2021,Kasimpasa,2,6,0.0,1.0,2.0,0,1,43,15,48,16,5,0
20/02/2021,Kasimpasa,3,7,0.0,1.0,2.0,0,2,36,13,53,15,7,0
28/02/2021,Kasimpasa,5,8,1.0,0.0,2.0,1,3,36,14,48,24,6,0
04/03/2021,Kasimpasa,4,5,1.0,0.0,2.0,1,3,27,11,40,19,7,1
08/03/2021,Kasimpasa,4,5,1.0,0.0,2.0,2,3,32,14,35,23,4,1
15/03/2021,Kasimpasa,2,4,0.0,1.0,2.0,1,3,30,10,34,14,6,1
20/03/2021,Kasimpasa,3,4,0.0,2.0,1.0,1,2,36,11,39,18,5,0
04/04/21,Kasimpasa,3,4,0.0,2.0,1.0,0,1,35,13,28,20,5,0
