Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Kayserispor,1,0,1.0,0.0,0.0,1,0,6,2,12,1,3,0
19/09/2020,Kayserispor,0,2,0.0,0.0,1.0,0,1,10,1,12,1,3,0
26/09/2020,Kayserispor,1,3,0.0,0.0,1.0,0,2,12,2,15,5,1,0
02/10/2020,Kayserispor,2,5,1.0,0.0,2.0,1,3,28,5,39,7,7,0
17/10/2020,Kayserispor,2,5,1.0,0.0,2.0,1,3,34,6,42,8,6,0
01/11/2020,Kayserispor,3,6,1.0,0.0,2.0,1,3,36,8,45,11,6,1
08/11/2020,Kayserispor,2,4,1.0,0.0,2.0,1,2,35,10,45,9,7,1
23/11/2020,Kayserispor,1,5,0.0,0.0,3.0,0,2,34,10,41,10,9,2
30/11/2020,Kayserispor,1,3,0.0,1.0,2.0,0,1,25,8,39,8,10,2
05/12/2020,Kayserispor,1,2,0.0,2.0,1.0,0,0,32,8,38,11,9,2
12/12/2020,Kayserispor,2,2,0.0,3.0,0.0,0,0,33,10,39,12,7,1
21/12/2020,Kayserispor,1,1,0.0,3.0,0.0,0,0,48,15,32,14,3,0
24/12/2020,Kayserispor,1,3,0.0,2.0,1.0,0,2,35,13,31,10,3,0
28/12/2020,Kayserispor,1,4,0.0,1.0,2.0,1,2,33,12,35,12,6,1
03/01/2021,Kayserispor,3,7,0.0,0.0,3.0,2,3,26,10,45,10,8,1
06/01/2021,Kayserispor,3,7,0.0,0.0,3.0,2,1,28,10,47,11,10,2
09/01/2021,Kayserispor,3,5,1.0,0.0,2.0,2,1,26,9,50,13,11,1
16/01/2021,Kayserispor,2,2,2.0,0.0,1.0,2,0,23,9,52,13,10,1
19/01/2021,Kayserispor,3,2,2.0,0.0,1.0,2,1,26,11,48,12,9,0
25/01/2021,Kayserispor,4,2,2.0,0.0,1.0,2,1,32,14,41,8,4,0
30/01/2021,Kayserispor,3,5,1.0,0.0,2.0,1,2,30,11,32,11,4,0
03/02/2021,Kayserispor,3,3,2.0,0.0,1.0,1,1,35,12,35,14,2,0
07/02/2021,Kayserispor,2,4,1.0,1.0,1.0,0,1,29,10,35,12,7,1
13/02/2021,Kayserispor,3,2,1.0,2.0,0.0,0,1,31,14,39,12,7,1
21/02/2021,Kayserispor,2,2,0.0,3.0,0.0,0,1,39,16,41,19,8,1
03/03/2021,Kayserispor,1,3,0.0,2.0,1.0,0,2,38,13,46,22,7,0
07/03/2021,Kayserispor,2,3,1.0,1.0,1.0,0,1,37,12,44,21,6,0
13/03/2021,Kayserispor,5,4,2.0,0.0,1.0,2,1,30,11,41,14,6,0
19/03/2021,Kayserispor,5,5,2.0,0.0,1.0,2,1,30,11,41,12,2,0
03/04/21,Kayserispor,3,7,1.0,0.0,2.0,2,2,35,10,39,15,3,0
