Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
19/09/2020,Konyaspor,0,0,0.0,1.0,0.0,0,0,10,1,13,1,3,0
27/09/2020,Konyaspor,4,1,1.0,0.0,0.0,1,0,10,4,12,3,4,0
04/10/2020,Konyaspor,0,0,0.0,1.0,0.0,0,0,11,5,11,6,0,0
17/10/2020,Konyaspor,4,1,1.0,2.0,0.0,1,0,31,10,36,10,7,0
24/10/2020,Konyaspor,5,2,1.0,2.0,0.0,1,0,40,17,38,13,8,0
01/11/2020,Konyaspor,1,2,0.0,2.0,1.0,0,0,41,17,38,14,9,0
07/11/2020,Konyaspor,2,4,0.0,1.0,2.0,0,1,43,17,41,10,12,0
22/11/2020,Konyaspor,3,3,1.0,0.0,2.0,0,1,36,14,40,10,11,0
29/11/2020,Konyaspor,5,3,2.0,0.0,1.0,0,2,41,18,41,11,9,0
05/12/2020,Konyaspor,4,2,2.0,0.0,1.0,0,2,38,16,41,13,11,0
12/12/2020,Konyaspor,4,2,2.0,0.0,1.0,1,2,42,17,36,11,8,0
21/12/2020,Konyaspor,5,5,1.0,0.0,2.0,3,2,34,13,38,8,8,0
24/12/2020,Konyaspor,5,5,1.0,0.0,2.0,3,1,27,11,34,6,3,0
28/12/2020,Konyaspor,5,6,1.0,0.0,2.0,2,2,27,13,41,5,5,0
02/01/2021,Konyaspor,3,3,1.0,1.0,1.0,1,1,32,13,36,4,4,0
05/01/2021,Konyaspor,4,4,1.0,1.0,1.0,2,2,43,14,39,10,7,0
10/01/2021,Konyaspor,6,6,1.0,1.0,1.0,3,2,36,10,38,13,7,0
16/01/2021,Konyaspor,6,7,1.0,0.0,2.0,2,2,31,8,38,17,7,0
19/01/2021,Konyaspor,7,8,1.0,0.0,2.0,1,3,38,16,33,16,6,0
24/01/2021,Konyaspor,4,8,0.0,0.0,3.0,0,3,42,15,29,18,9,0
03/02/2021,Konyaspor,3,6,0.0,1.0,2.0,0,3,42,13,27,19,8,0
07/02/2021,Konyaspor,1,3,0.0,2.0,1.0,0,1,40,8,29,19,8,0
14/02/2021,Konyaspor,0,1,0.0,2.0,1.0,0,0,30,5,30,16,6,0
20/02/2021,Konyaspor,2,1,1.0,1.0,1.0,0,0,33,9,31,13,8,0
26/02/2021,Konyaspor,5,3,2.0,0.0,1.0,0,2,25,8,38,14,9,0
03/03/2021,Konyaspor,5,2,2.0,1.0,0.0,0,2,32,10,35,17,8,0
08/03/2021,Konyaspor,4,3,1.0,2.0,0.0,0,2,31,8,38,18,6,0
15/03/2021,Konyaspor,1,4,0.0,2.0,1.0,0,2,35,9,31,12,5,0
21/03/2021,Konyaspor,2,5,0.0,2.0,1.0,0,2,32,9,38,6,4,0
04/04/21,Konyaspor,2,4,1.0,1.0,1.0,1,2,30,11,48,5,6,0
