Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Sivasspor,0,2,0.0,0.0,1.0,0,1,10,4,14,7,4,0
20/09/2020,Sivasspor,2,1,1.0,0.0,0.0,0,0,9,3,9,7,0,0
27/09/2020,Sivasspor,0,0,0.0,1.0,0.0,0,0,13,3,16,6,1,0
17/10/2020,Sivasspor,2,3,1.0,1.0,1.0,0,1,32,10,39,20,5,0
26/10/2020,Sivasspor,5,2,2.0,1.0,0.0,1,0,40,14,40,19,4,0
02/11/2020,Sivasspor,3,3,1.0,1.0,1.0,1,1,40,13,49,17,6,0
08/11/2020,Sivasspor,4,4,1.0,1.0,1.0,2,2,34,14,40,13,7,0
21/11/2020,Sivasspor,2,5,0.0,1.0,2.0,1,3,26,12,43,14,9,0
30/11/2020,Sivasspor,3,4,0.0,2.0,1.0,2,2,26,13,41,14,10,0
07/12/2020,Sivasspor,2,4,0.0,1.0,2.0,1,1,26,14,45,18,9,0
14/12/2020,Sivasspor,2,3,0.0,2.0,1.0,1,1,22,9,39,17,5,0
21/12/2020,Sivasspor,1,2,0.0,2.0,1.0,0,1,22,8,33,16,3,0
24/12/2020,Sivasspor,2,1,1.0,2.0,0.0,0,1,25,7,34,13,3,0
28/12/2020,Sivasspor,4,1,2.0,1.0,0.0,1,0,37,14,31,16,3,0
02/01/2021,Sivasspor,4,4,2.0,0.0,1.0,1,1,36,14,36,17,5,1
05/01/2021,Sivasspor,5,6,1.0,1.0,1.0,3,2,33,15,35,15,5,1
09/01/2021,Sivasspor,4,7,0.0,2.0,1.0,4,3,29,11,41,11,5,1
16/01/2021,Sivasspor,6,5,1.0,2.0,0.0,5,3,42,16,36,14,7,0
21/01/2021,Sivasspor,5,4,1.0,2.0,0.0,4,3,43,12,40,16,8,0
25/01/2021,Sivasspor,4,3,1.0,2.0,0.0,3,3,40,12,40,18,9,0
31/01/2021,Sivasspor,2,4,0.0,2.0,1.0,2,4,26,8,46,20,6,0
03/02/2021,Sivasspor,2,6,0.0,1.0,2.0,1,5,29,11,46,22,5,0
07/02/2021,Sivasspor,1,5,0.0,1.0,2.0,0,4,26,10,50,19,4,0
21/02/2021,Sivasspor,5,4,1.0,1.0,1.0,1,2,31,14,44,11,3,0
27/02/2021,Sivasspor,6,1,2.0,1.0,0.0,2,0,41,17,44,12,5,0
03/03/2021,Sivasspor,6,1,2.0,1.0,0.0,2,0,40,15,39,12,6,1
07/03/2021,Sivasspor,3,1,1.0,2.0,0.0,1,0,40,12,44,16,6,1
13/03/2021,Sivasspor,3,3,0.0,3.0,0.0,2,1,31,9,42,14,7,2
20/03/2021,Sivasspor,4,3,1.0,2.0,0.0,3,1,34,12,42,11,6,1
03/04/21,Sivasspor,8,5,2.0,1.0,0.0,7,1,31,13,45,8,7,1
