Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Trabzonspor,1,3,0.0,0.0,1.0,0,1,8,4,7,4,3,1
19/09/2020,Trabzonspor,0,0,0.0,1.0,0.0,0,0,13,4,13,7,0,0
26/09/2020,Trabzonspor,3,1,1.0,0.0,0.0,3,0,10,4,9,5,1,0
02/10/2020,Trabzonspor,4,4,1.0,1.0,1.0,3,1,31,12,29,16,4,1
17/10/2020,Trabzonspor,4,2,1.0,2.0,0.0,3,0,27,11,33,18,3,1
25/10/2020,Trabzonspor,4,4,1.0,1.0,1.0,3,1,26,13,30,15,4,1
30/10/2020,Trabzonspor,2,6,0.0,1.0,2.0,1,1,28,14,33,12,4,1
07/11/2020,Trabzonspor,4,9,0.0,0.0,3.0,4,3,36,15,30,8,5,0
22/11/2020,Trabzonspor,5,8,0.0,1.0,2.0,4,2,31,14,33,12,7,0
27/11/2020,Trabzonspor,5,5,1.0,1.0,1.0,4,2,30,12,32,14,8,0
07/12/2020,Trabzonspor,3,1,2.0,1.0,0.0,2,0,26,9,37,17,9,1
12/12/2020,Trabzonspor,3,1,2.0,1.0,0.0,3,0,29,8,37,15,6,1
19/12/2020,Trabzonspor,2,1,1.0,2.0,0.0,2,0,29,9,36,15,7,1
22/12/2020,Trabzonspor,3,2,1.0,2.0,0.0,1,1,39,16,34,19,4,0
26/12/2020,Trabzonspor,3,1,2.0,1.0,0.0,0,1,37,14,38,15,5,0
03/01/2021,Trabzonspor,3,3,2.0,0.0,1.0,0,2,38,14,39,12,4,0
06/01/2021,Trabzonspor,3,3,2.0,0.0,1.0,0,1,34,10,43,11,7,0
16/01/2021,Trabzonspor,3,3,2.0,0.0,1.0,1,1,39,12,36,14,7,0
19/01/2021,Trabzonspor,4,2,2.0,1.0,0.0,1,1,45,13,27,19,6,0
23/01/2021,Trabzonspor,5,2,2.0,1.0,0.0,2,1,41,14,28,11,5,0
31/01/2021,Trabzonspor,6,3,2.0,1.0,0.0,2,1,42,18,31,11,6,0
04/02/2021,Trabzonspor,7,3,3.0,0.0,0.0,3,1,40,18,37,10,8,0
08/02/2021,Trabzonspor,5,2,3.0,0.0,0.0,2,1,55,18,27,15,5,0
13/02/2021,Trabzonspor,5,1,3.0,0.0,0.0,1,1,51,12,31,14,5,0
19/02/2021,Trabzonspor,4,0,3.0,0.0,0.0,0,0,43,11,31,11,5,1
28/02/2021,Trabzonspor,4,0,3.0,0.0,0.0,0,0,28,9,34,9,7,1
04/03/2021,Trabzonspor,2,1,2.0,0.0,1.0,0,0,34,8,30,10,6,1
08/03/2021,Trabzonspor,3,2,2.0,0.0,1.0,1,1,40,8,38,13,5,0
14/03/2021,Trabzonspor,3,5,1.0,0.0,2.0,1,1,48,10,46,13,6,0
20/03/2021,Trabzonspor,3,4,1.0,1.0,1.0,1,1,40,10,39,10,5,0
03/04/21,Trabzonspor,5,4,1.0,1.0,1.0,3,1,40,15,37,9,4,0
