Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Yeni Malatyaspor,0,3,0.0,0.0,1.0,0,1,20,7,10,6,3,0
18/09/2020,Yeni Malatyaspor,1,1,0.0,1.0,0.0,1,1,14,1,13,5,0,0
26/09/2020,Yeni Malatyaspor,1,3,0.0,0.0,1.0,0,3,9,4,14,5,2,0
03/10/2020,Yeni Malatyaspor,2,7,0.0,1.0,2.0,1,5,43,12,37,16,5,0
17/10/2020,Yeni Malatyaspor,3,4,1.0,1.0,1.0,2,4,37,9,46,17,6,0
25/10/2020,Yeni Malatyaspor,3,4,1.0,1.0,1.0,1,3,32,11,47,16,8,0
01/11/2020,Yeni Malatyaspor,4,2,2.0,1.0,0.0,2,1,34,11,43,16,6,0
08/11/2020,Yeni Malatyaspor,3,3,1.0,1.0,1.0,1,1,26,8,39,10,2,0
28/11/2020,Yeni Malatyaspor,4,2,2.0,0.0,1.0,3,1,26,12,45,8,1,0
05/12/2020,Yeni Malatyaspor,4,3,1.0,1.0,1.0,2,1,26,13,48,10,4,0
12/12/2020,Yeni Malatyaspor,5,3,1.0,2.0,0.0,2,2,30,15,50,13,7,0
19/12/2020,Yeni Malatyaspor,6,3,1.0,2.0,0.0,2,2,31,14,45,13,8,0
23/12/2020,Yeni Malatyaspor,6,1,2.0,1.0,0.0,3,1,35,14,53,8,8,0
27/12/2020,Yeni Malatyaspor,6,1,2.0,1.0,0.0,3,1,38,18,55,5,7,0
02/01/2021,Yeni Malatyaspor,4,4,1.0,1.0,1.0,1,2,42,16,53,10,8,0
05/01/2021,Yeni Malatyaspor,3,7,0.0,1.0,2.0,0,4,43,13,47,15,7,1
09/01/2021,Yeni Malatyaspor,4,8,0.0,1.0,2.0,1,5,38,9,42,18,8,1
17/01/2021,Yeni Malatyaspor,3,6,0.0,1.0,2.0,1,5,36,8,41,16,9,1
20/01/2021,Yeni Malatyaspor,6,4,1.0,1.0,1.0,1,4,40,15,39,13,7,0
24/01/2021,Yeni Malatyaspor,6,3,2.0,0.0,1.0,0,2,46,17,36,13,7,0
29/01/2021,Yeni Malatyaspor,6,3,2.0,0.0,1.0,0,1,39,17,37,11,6,0
04/02/2021,Yeni Malatyaspor,2,2,1.0,1.0,1.0,0,0,25,9,37,14,9,1
08/02/2021,Yeni Malatyaspor,2,3,0.0,2.0,1.0,1,1,21,9,40,12,7,1
15/02/2021,Yeni Malatyaspor,2,4,0.0,2.0,1.0,1,1,27,7,36,20,5,1
20/02/2021,Yeni Malatyaspor,3,5,0.0,2.0,1.0,2,2,24,7,37,16,5,0
26/02/2021,Yeni Malatyaspor,3,6,0.0,1.0,2.0,3,1,21,4,33,17,6,0
02/03/2021,Yeni Malatyaspor,4,5,0.0,2.0,1.0,4,1,22,5,34,10,5,1
06/03/2021,Yeni Malatyaspor,3,5,0.0,1.0,2.0,3,0,28,8,37,11,4,1
20/03/2021,Yeni Malatyaspor,3,5,0.0,1.0,2.0,2,2,32,11,41,12,4,1
04/04/21,Yeni Malatyaspor,4,6,0.0,1.0,2.0,2,3,26,12,44,15,5,1
